target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
ADGRL2	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.05144017	1	1000	0.001998001998001998	-0.00033667469661577344	0.013816857377856637	0.00458164819039264	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
ADGRL2	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.03978798	3	1000	0.003996003996003996	0.0007792440593620996	0.013968114905241196	0.015501902655076227	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
ADGRL2	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.037898313	2	1000	0.002997002997002997	0.00020426118579518971	0.013553985270459338	0.01573377900930706	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
ADGRL2	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.037854366	3	1000	0.003996003996003996	0.008042952807648135	0.010189817019072298	0.013088330810172466	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
ADGRL2	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03739098	0	1000	0.000999000999000999	-0.00010794947172871617	0.013074600948714321	0.014083552474748684	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
ADGRL2	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.036192454	3	1000	0.003996003996003996	-0.0004400361428088218	0.013126513527728968	0.015540886661609465	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
ADGRL2	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.035514913	5	1000	0.005994005994005994	1.1965339374000905e-05	0.013767259001726866	0.02034521463769101	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
ADGRL2	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.035425216	3	1000	0.003996003996003996	0.0005872073236523647	0.01368670323165038	0.021226296932475353	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
ADGRL2	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.035068195	4	1000	0.004995004995004995	-0.00014516415923935711	0.013107203250227765	0.017742238249401465	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
ADGRL2	NBLWZWQTORFRDM-UHFFFAOYSA-N	12.99	3270	1	1	0.034995783	4	1000	0.004995004995004995	-0.0001181778727532219	0.013345229637927317	0.019035413756169572	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCSC1=CC=CC=C1C(=O)NCC2=CC=CO2
