target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
APLNR	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.050202973	0	1000	0.000999000999000999	-0.0003276769065205372	0.013851625986581345	0.005202807167051793	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
APLNR	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.04114476	0	1000	0.000999000999000999	-8.930738341496181e-05	0.01313775510369605	0.00997547058814341	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
APLNR	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.039363686	2	1000	0.002997002997002997	0.008074154335417007	0.010224678490445066	0.011024790650529082	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
APLNR	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.039127704	3	1000	0.003996003996003996	0.00019338550946122269	0.013571927882462389	0.014071641435605353	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
APLNR	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.038491327	5	1000	0.005994005994005994	0.0007249539405438554	0.013959906584495658	0.017323672481426966	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
APLNR	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.037628602	2	1000	0.002997002997002997	0.00011764190135363606	0.013042538141190647	0.013941274109118718	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
APLNR	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.036742035	2	1000	0.002997002997002997	-0.0001446840878626574	0.013292313981897603	0.015854145464469394	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
APLNR	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.03617253	5	1000	0.005994005994005994	-0.00023984931761333427	0.013074496401901359	0.015654657161515706	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
APLNR	BBAAXEBKKSKXHK-FPLPWBNLSA-N	140.46	2460	1	1	0.035805065	4	1000	0.004995004995004995	-0.0006001701893546852	0.01277311158742508	0.014408770470808907	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC2=C(C=C1F)C(=C3C(=O)NC(=S)S3)C(=O)N2
APLNR	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.035783235	3	1000	0.003996003996003996	0.00029039314984675323	0.013179584354498283	0.017597336009558706	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
