target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
C3AR1	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.048887275	0	1000	0.000999000999000999	-0.00037432600523516155	0.013857743304533291	0.005861378348470114	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
C3AR1	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.041490886	2	1000	0.002997002997002997	0.0007170000672667811	0.013986947158686154	0.0132640902732023	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
C3AR1	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.0413927	0	1000	0.000999000999000999	-0.00010336369464585004	0.013189682930051037	0.009880358994008964	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
C3AR1	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.04035873	1	1000	0.001998001998001998	0.00023040914322325535	0.01358575539177497	0.01262801343795572	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
C3AR1	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.038699664	1	1000	0.001998001998001998	-0.00015883076254976915	0.013260358603309472	0.013008240580189345	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
C3AR1	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.038252838	4	1000	0.004995004995004995	0.008105145456715946	0.010208209050642868	0.012634874360825554	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
C3AR1	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.037982475	4	1000	0.004995004995004995	-0.0002497835145040881	0.01314094600598005	0.013361425824932271	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
C3AR1	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.03790238	1	1000	0.001998001998001998	5.534693898334808e-05	0.013122530219485768	0.013798565752980108	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
C3AR1	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.037461903	2	1000	0.002997002997002997	0.0005728987711192417	0.013655525405461947	0.01741084484507671	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
C3AR1	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.037091278	2	1000	0.002997002997002997	-0.0005377029551309533	0.013146332515960108	0.014187178412355284	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
