target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
CACNA1B	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.04999744	1	1000	0.001998001998001998	-0.000320215006256376	0.013827563071541978	0.005263423691446278	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
CACNA1B	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.04089049	1	1000	0.001998001998001998	0.0001455392163970828	0.013671813156341521	0.012208460713691305	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
CACNA1B	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.04056959	5	1000	0.005994005994005994	0.0007429334956614185	0.013993665875801628	0.014484138220806186	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
CACNA1B	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.037643116	0	1000	0.000999000999000999	-0.00010828783761189697	0.01311014523153766	0.013879110956752316	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
CACNA1B	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.03762231	3	1000	0.003996003996003996	1.800368066506053e-05	0.01300876128176215	0.013683674113899813	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
CACNA1B	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.03654242	6	1000	0.006993006993006993	0.008057649597009003	0.010200831088501505	0.015507857963931948	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
CACNA1B	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.036455262	4	1000	0.004995004995004995	0.0005634462625810102	0.013730136543822411	0.019453597663836475	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
CACNA1B	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.035807513	3	1000	0.003996003996003996	-0.00048684625823443636	0.013070403185724534	0.015817993965541066	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
CACNA1B	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.03513707	2	1000	0.002997002997002997	-0.00025481989796844574	0.013064444672149973	0.01724285566972905	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
CACNA1B	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.034795567	5	1000	0.005994005994005994	-0.0002308626152434954	0.01308071723882766	0.017942957224851952	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
CACNA1B	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.034484565	8	1000	0.008991008991008992	5.121757685265038e-05	0.013765407707527197	0.022443243079286024	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
CACNA1B	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.034090295	10	1000	0.01098901098901099	-2.954403077455936e-05	0.012934837742336402	0.018875871813781253	0.8950471518457016	1.0	0.8360431641651717	1.0	0.8950471518457016	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
CACNA1B	KLMHBVQKLVFBDH-UHFFFAOYSA-N	5.08	1317	1	1	0.03383683	5	1000	0.005994005994005994	-0.00014960271882864617	0.013736846369660844	0.02323459292148311	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CN1CCN(CC1)c2cc(ncn2)n3nc(cc3c4ccccc4)C(F)(F)F
CACNA1B	RXTJOCNYCYFDSQ-UHFFFAOYSA-N	2.07	1040	1	1	0.03364802	4	1000	0.004995004995004995	0.0005304130543736391	0.01341309318072163	0.023383985131645524	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC[N+]1=C(N(C2=C1C=C(C=C2)Cl)C3=CC=CC=C3)C=CC=C4C(C5=CC=CC=C5N4C)(C)C
CACNA1B	JOZKFWLRHCDGJA-LLVKDONJSA-N	100	2921	1	1	0.033331662	6	1000	0.006993006993006993	-6.207699067752514e-05	0.01287217646394929	0.01994974569000718	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC(CCC=C(C)C)CCOC(=O)C
