target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
CASR	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.050087474	1	1000	0.001998001998001998	-0.00035905207869791413	0.013812435833606841	0.005174531418019157	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
CASR	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.04003954	3	1000	0.003996003996003996	0.0006880833375907968	0.013978338440856835	0.015064763699466521	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
CASR	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.038448185	1	1000	0.001998001998001998	0.00020018029957373073	0.013583768612296087	0.015054418426842076	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
CASR	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03832423	0	1000	0.000999000999000999	-0.00012649561485523009	0.01315377977651306	0.01312906681814674	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
CASR	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.03736932	1	1000	0.001998001998001998	-0.0004654558833171905	0.013101233307311217	0.01373277238314441	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
CASR	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.03700276	5	1000	0.005994005994005994	0.008086956532135673	0.010210935243747856	0.014748406547089976	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
CASR	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.03571538	3	1000	0.003996003996003996	0.000525266689417549	0.013688177518350768	0.020551716340334703	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
CASR	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.035510108	6	1000	0.006993006993006993	-0.00018720007381580218	0.013151337383414426	0.017126515696092248	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
CASR	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.035196323	2	1000	0.002997002997002997	-0.00021621086298637238	0.013354334991185437	0.01854455964934354	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
CASR	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.035142016	7	1000	0.007992007992007992	1.2007380408249447e-05	0.01307000993409503	0.017713667736366068	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
CASR	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.034621257	9	1000	0.00999000999000999	-9.896194493239819e-05	0.012866723017189023	0.01747619330423733	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
CASR	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.034546915	7	1000	0.007992007992007992	3.1637456530006604e-05	0.013728950032329905	0.022087185014330046	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
CASR	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.034528643	2	1000	0.002997002997002997	0.0003400308186186294	0.012977581474457744	0.018957305348728526	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
CASR	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.034452625	3	1000	0.003996003996003996	-0.00030095507531768817	0.013010508483069337	0.01809229835737769	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
CASR	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.034301832	8	1000	0.008991008991008992	0.006563149286044791	0.011217685708672811	0.023274206610602977	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
