target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
GPR55	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.049228303	0	1000	0.000999000999000999	-0.00033447131823413656	0.013833620764435037	0.005655426568251243	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
GPR55	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.04028072	1	1000	0.001998001998001998	0.008115705823111058	0.010295136610974306	0.010159185440286045	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
GPR55	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03950025	0	1000	0.000999000999000999	-0.0001128034721732547	0.013094933708454309	0.011529941815327183	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
GPR55	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.03761037	4	1000	0.004995004995004995	0.00022745877710076456	0.013575796514338458	0.016291641527806378	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
GPR55	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.03714808	6	1000	0.006993006993006993	0.0007374719447000189	0.01395904883874388	0.019594995382625213	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
GPR55	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.03682337	3	1000	0.003996003996003996	8.269338493369104e-05	0.01303103384676518	0.01498251395872141	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
GPR55	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.036761127	3	1000	0.003996003996003996	-0.0004484938759957231	0.013156826890237942	0.014817775306386172	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
GPR55	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.036697093	5	1000	0.005994005994005994	-0.00021998214697669028	0.013072228657845577	0.014894867942742862	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
GPR55	BBAAXEBKKSKXHK-FPLPWBNLSA-N	140.46	2460	1	1	0.03666133	4	1000	0.004995004995004995	-0.0005974326675241173	0.012794049677398762	0.01331392718392077	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC2=C(C=C1F)C(=C3C(=O)NC(=S)S3)C(=O)N2
GPR55	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.03591129	2	1000	0.002997002997002997	-0.00015239471250333737	0.013237296985383935	0.01690901130375344	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
GPR55	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.035380173	6	1000	0.006993006993006993	5.4041919629526095e-05	0.013686709799470169	0.020286983421123006	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
GPR55	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.035151996	3	1000	0.003996003996003996	0.0003889668529985784	0.013178340838083006	0.01887428732368024	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
GPR55	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.034946326	3	1000	0.003996003996003996	-0.000220572518565632	0.012963069872219938	0.01715911209373666	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
GPR55	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.034340493	8	1000	0.008991008991008992	-7.482523799535556e-05	0.012905433378334047	0.01819518429444822	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
GPR55	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.034165908	2	1000	0.002997002997002997	0.0003078597866374366	0.012956638341049207	0.019476061751257823	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
