target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
HCAR3	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.049761765	0	1000	0.000999000999000999	-0.00036717016428337954	0.013834335277823658	0.0053682912134753735	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
HCAR3	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.04065227	0	1000	0.000999000999000999	-8.853550950516365e-05	0.01313148706309981	0.01044524969360583	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
HCAR3	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.039957117	1	1000	0.001998001998001998	0.00813627632461248	0.010246425023104987	0.010404982984071887	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
HCAR3	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.03956235	2	1000	0.002997002997002997	0.00021666245207870816	0.013573770260587295	0.01354554880922676	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
HCAR3	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.03855153	5	1000	0.005994005994005994	0.0007528524826993817	0.013909921908880034	0.017060406686763563	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
HCAR3	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.037932266	2	1000	0.002997002997002997	-0.00048687585020798	0.013150787716473432	0.013158147603370751	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
HCAR3	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.037896603	2	1000	0.002997002997002997	0.00011722220050342003	0.013043545994160891	0.013584452448973994	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
HCAR3	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.037356403	4	1000	0.004995004995004995	-0.0002499112308667009	0.013056656048710001	0.013867019309953599	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
HCAR3	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.036266282	2	1000	0.002997002997002997	-0.00020469993071441195	0.012943201854562061	0.015015044286160184	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
HCAR3	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.036136713	2	1000	0.002997002997002997	-0.00015491478940930393	0.013233561979547523	0.016526468358301738	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
