target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
LGR6	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.050948177	0	1000	0.000999000999000999	-0.0003560767218486944	0.013858613131014136	0.00485562671405626	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
LGR6	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.039162766	1	1000	0.001998001998001998	0.00018827942809002707	0.013613798338258222	0.014177268108036767	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
LGR6	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03886875	0	1000	0.000999000999000999	-0.00012579590212953917	0.013147153238185034	0.01243157659305627	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
LGR6	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.037672907	6	1000	0.006993006993006993	0.0006424419180157202	0.013940120718670086	0.01843574326629016	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
LGR6	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.0372338	2	1000	0.002997002997002997	9.483242354667709e-05	0.013059765560238887	0.014526225090277123	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
LGR6	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.036989775	4	1000	0.004995004995004995	1.69618404834182e-06	0.013725037785845995	0.01755448812445759	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
LGR6	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.03695092	2	1000	0.002997002997002997	-0.00018747996339129713	0.013317435884091114	0.015580887778942065	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
LGR6	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.03692682	6	1000	0.006993006993006993	0.008080895207795038	0.010228392272786206	0.014969043566242735	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
LGR6	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.03654699	2	1000	0.002997002997002997	0.0003520421289913429	0.01318157156161309	0.016453436906054608	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
LGR6	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.03654134	2	1000	0.002997002997002997	-0.00023688110125476668	0.012978459798199008	0.01471198081093783	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
