target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
LRRC8B	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.04990671	0	1000	0.000999000999000999	-0.0003188158723843202	0.013862954023892687	0.005371814670346309	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
LRRC8B	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.040541094	2	1000	0.002997002997002997	3.8461095915408804e-05	0.01378261874296179	0.012872226458552127	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
LRRC8B	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.039867822	2	1000	0.002997002997002997	0.00813712703865167	0.01024836803722873	0.010530314866495916	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
LRRC8B	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.03877316	1	1000	0.001998001998001998	-0.00014513022421260756	0.013317575367561658	0.013143188215319124	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
LRRC8B	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.038436867	3	1000	0.003996003996003996	0.006520582483584804	0.011324923146497136	0.015006200491320287	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
LRRC8B	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.03834009	4	1000	0.004995004995004995	0.0007016565451740461	0.013936022945342087	0.01742403978472884	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
LRRC8B	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.03827758	4	1000	0.004995004995004995	-0.00025188572522347386	0.01297821360685439	0.012387707698281791	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
LRRC8B	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03706019	1	1000	0.001998001998001998	-3.704379659757251e-05	0.01307882430367858	0.014662512447743747	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
LRRC8B	QBKSWRVVCFFDOT-UHFFFAOYSA-N	71.55	2887	2	2	0.03681326	8	1000	0.008991008991008992	0.007336411631401915	0.010776381442727426	0.01667581529413964	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=C(C(=C2C(=C1)C(=C(C(=C2C=O)O)O)C(C)C)O)C3=C(C=C4C(=C3O)C(=C(C(=C4C(C)C)O)O)C=O)C
LRRC8B	JDSBUPUXYPOCOV-UHFFFAOYSA-N	162	2702	1	1	0.0367289	5	1000	0.005994005994005994	-0.000303060290926112	0.013749297897507869	0.017589414021345506	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=NC2=CC=CC=C2C(=C1)NCCN
LRRC8B	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.036623854	4	1000	0.004995004995004995	9.354717194037221e-05	0.0130470578617217	0.015360713020565075	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
LRRC8B	QGONKIQYZUZDII-UHFFFAOYSA-N	146.67	2701	1	1	0.03654406	0	1000	0.000999000999000999	-7.082682132113404e-05	0.013173220002190327	0.015764578578455923	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1COCCN1C2=C(C=CC(=C2)Cl)N
LRRC8B	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.03626739	2	1000	0.002997002997002997	0.00034087017577030565	0.013129371399729861	0.016654036424636365	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
LRRC8B	UJFQDANWZPHKTG-UHFFFAOYSA-N	71.43	3300	1	1	0.036113966	5	1000	0.005994005994005994	1.535055786041539e-05	0.012977390164599307	0.015721299987393134	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C2C(=C1)C=CC=C2CC3=NC(=NO3)C4=CC=CC=N4
LRRC8B	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.03609202	3	1000	0.003996003996003996	-0.0002580659152408771	0.012975709981849295	0.015331294269156803	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
