target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
MC4R	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.050100394	0	1000	0.000999000999000999	-0.0003738843840346817	0.013829964102182889	0.005191918412584373	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
MC4R	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.040397108	1	1000	0.001998001998001998	0.0002174774378293023	0.013554288931334984	0.012457887870341744	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
MC4R	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.03924544	1	1000	0.001998001998001998	0.008124187875694588	0.010161369854126108	0.010989615736481606	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
MC4R	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03912493	0	1000	0.000999000999000999	-0.00013243308874461945	0.013101056838808316	0.011957585855903563	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
MC4R	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.0388152	5	1000	0.005994005994005994	0.0007371623662020283	0.013926011281522864	0.01669723176024185	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
MC4R	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.038495567	1	1000	0.001998001998001998	-0.0004762232886459969	0.013160621263512235	0.012507296123123846	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
MC4R	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.037623566	3	1000	0.003996003996003996	-0.00018993333374237408	0.013096837470662067	0.013744236903373008	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
MC4R	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.036151387	2	1000	0.002997002997002997	-0.00018164771330702933	0.013240663460437476	0.016491687410070233	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
MC4R	KLMHBVQKLVFBDH-UHFFFAOYSA-N	5.08	1317	1	1	0.03604524	2	1000	0.002997002997002997	-0.00011721043204306625	0.013695698570981458	0.018813657579323295	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CN1CCN(CC1)c2cc(ncn2)n3nc(cc3c4ccccc4)C(F)(F)F
MC4R	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.035903517	1	1000	0.001998001998001998	-0.0002123574435794069	0.013005303359087152	0.01581445493429834	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
MC4R	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.035796795	7	1000	0.007992007992007992	8.0032770874368e-05	0.013092007547590559	0.016828883344384926	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
MC4R	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.035642732	6	1000	0.006993006993006993	5.527345853442966e-05	0.013745753009735304	0.02008390433800744	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
MC4R	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.03545811	7	1000	0.007992007992007992	-4.857481135968555e-05	0.012883082587839993	0.016241432331399963	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
MC4R	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.0352671	4	1000	0.004995004995004995	0.0005364697376999175	0.013627340986055211	0.021140060472128352	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
MC4R	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.03511275	1	1000	0.001998001998001998	0.000331953728600638	0.012920114205329254	0.01762035811617013	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
