target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR11H2	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.04962576	0	1000	0.000999000999000999	-0.0002456476901905944	0.013848420137260701	0.005523483302980803	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR11H2	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.04045682	2	1000	0.002997002997002997	0.0081028059229875	0.01029583868104384	0.009926667681914636	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
OR11H2	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03928077	0	1000	0.000999000999000999	-0.00011968632575781157	0.013103874685480098	0.011801959228228243	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR11H2	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.03888673	4	1000	0.004995004995004995	0.0006858007381842981	0.013934723086409626	0.016546932670544412	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR11H2	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.038286958	1	1000	0.001998001998001998	0.00019244335980147297	0.0135749000672198	0.015236920873469506	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
OR11H2	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.037802774	2	1000	0.002997002997002997	6.74451083632448e-05	0.013041403953720717	0.0136347624282952	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
OR11H2	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.037264995	2	1000	0.002997002997002997	-0.000507689965339523	0.01310087360265191	0.013814523436560311	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
OR11H2	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.03632431	5	1000	0.005994005994005994	-0.0002548765901394745	0.013130651312981882	0.015638863837395323	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
OR11H2	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.035570666	4	1000	0.004995004995004995	0.0003449297418155766	0.013178333872291278	0.018050710915834434	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
OR11H2	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.03481632	3	1000	0.003996003996003996	-0.00025689851049628487	0.013010483359267003	0.0175359417810671	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
OR11H2	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.034739755	2	1000	0.002997002997002997	-0.00015785705058260645	0.013315441909602	0.019287601022795697	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
OR11H2	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.034635346	4	1000	0.004995004995004995	0.00048733108429905767	0.013628439151291282	0.022323931504552252	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
OR11H2	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.03399171	9	1000	0.00999000999000999	4.966418700587383e-05	0.013664458970520772	0.02294604946391343	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
OR11H2	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.03369254	3	1000	0.003996003996003996	0.0003247088874427391	0.012966029314955526	0.02048293406546864	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
OR11H2	QWGDMFLQWFTERH-UHFFFAOYSA-N	43.43	3134	1	1	0.033533074	7	1000	0.007992007992007992	0.00012267567500157383	0.013248898334406496	0.021872570670270264	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
