target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR2AE1	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.04953754	0	1000	0.000999000999000999	-0.00024704310434481156	0.013844644786441582	0.005560977395811517	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR2AE1	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.040053092	2	1000	0.002997002997002997	0.008104361275303585	0.010289969360910678	0.010414456263725613	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
OR2AE1	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03958499	0	1000	0.000999000999000999	-0.00010900595207021979	0.013104749269575128	0.011472588219266222	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR2AE1	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.038944915	4	1000	0.004995004995004995	0.0006959431147083706	0.013940175677861868	0.01649704320680556	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR2AE1	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.03812379	3	1000	0.003996003996003996	0.00019146737908522481	0.013581429901799561	0.015496848856333623	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
OR2AE1	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.038045064	2	1000	0.002997002997002997	6.803804477021914e-05	0.013033721047856548	0.013287545147797064	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
OR2AE1	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.037246566	2	1000	0.002997002997002997	-0.0004974361603553916	0.013100582117349149	0.013851967745226457	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
OR2AE1	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.03644205	5	1000	0.005994005994005994	-0.0002461216315314232	0.013125772513000403	0.015454120528997084	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
OR2AE1	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.03544023	4	1000	0.004995004995004995	0.00034186003511899797	0.013169398714097382	0.018231871672414024	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
OR2AE1	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.035035677	2	1000	0.002997002997002997	-0.00016026951660478517	0.013312481585964545	0.018732405340908254	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
OR2AE1	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.034766126	4	1000	0.004995004995004995	0.0004978268095283057	0.013634984329588805	0.022109268838236273	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
OR2AE1	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.034732897	2	1000	0.002997002997002997	-0.0002561851637619839	0.013006950107524461	0.017664282175155366	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
OR2AE1	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.03413489	9	1000	0.00999000999000999	3.867634282687504e-05	0.013660389470038975	0.02259884929963918	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
OR2AE1	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.03381862	2	1000	0.002997002997002997	0.0003226517961047648	0.012958366726240447	0.02018838765686226	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
OR2AE1	QWGDMFLQWFTERH-UHFFFAOYSA-N	43.43	3134	1	1	0.03357025	7	1000	0.007992007992007992	0.00012949177911610832	0.013263873964927713	0.021888067433842417	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
