target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR2J1	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.04974872	0	1000	0.000999000999000999	-0.00025085755609143234	0.013851751345671327	0.005464550946452262	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR2J1	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.039652314	2	1000	0.002997002997002997	0.008101708279162722	0.010287093594748184	0.010929421142053752	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
OR2J1	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03901601	0	1000	0.000999000999000999	-0.00012040649902519363	0.013112153455240616	0.012138197736767387	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR2J1	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.03855114	5	1000	0.005994005994005994	0.0006748877330646792	0.013942863531654493	0.01707899619523645	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR2J1	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.0381661	1	1000	0.001998001998001998	0.00018547289691196056	0.013594452504250919	0.015479550750419513	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
OR2J1	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.038047448	2	1000	0.002997002997002997	5.855991482076206e-05	0.013035529779274996	0.013278987219414562	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
OR2J1	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.037184946	2	1000	0.002997002997002997	-0.0005268728305418335	0.013093311150721097	0.01386711428200016	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
OR2J1	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.035741497	5	1000	0.005994005994005994	-0.0002679954030245426	0.013124758369886464	0.01650046863185306	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
OR2J1	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.0352543	4	1000	0.004995004995004995	0.00035537654208383173	0.013172685601883454	0.01860174233375378	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
OR2J1	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.03461616	4	1000	0.004995004995004995	-0.00027096323808382293	0.013017296208229685	0.01788957186667184	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
OR2J1	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.034519058	2	1000	0.002997002997002997	-0.00017689214619167614	0.013337605359709653	0.019770571665298498	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
OR2J1	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.03445148	5	1000	0.005994005994005994	0.00048037061443710627	0.013645102296403326	0.022782166490567746	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
OR2J1	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.03393326	8	1000	0.008991008991008992	4.678285910449631e-05	0.013671918540321291	0.023104240768973106	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
OR2J1	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.03384569	2	1000	0.002997002997002997	0.0003135036908770417	0.012975390462787412	0.020203777481786922	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
OR2J1	RXTJOCNYCYFDSQ-UHFFFAOYSA-N	2.07	1040	1	1	0.033285424	4	1000	0.004995004995004995	0.0004521213574871581	0.013401033970106358	0.023953651418158528	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC[N+]1=C(N(C2=C1C=C(C=C2)Cl)C3=CC=CC=C3)C=CC=C4C(C5=CC=CC=C5N4C)(C)C
