target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR51B5	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.04940045	0	1000	0.000999000999000999	-0.00030603596689797994	0.01382524830068643	0.00556527423448927	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR51B5	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.03978294	2	1000	0.002997002997002997	0.008120700262527862	0.0103248091616991	0.01093487551695016	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
OR51B5	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03821728	0	1000	0.000999000999000999	-0.0001372700835709111	0.013116321808350052	0.013112088925191667	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR51B5	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.037662998	5	1000	0.005994005994005994	0.0006955610176000846	0.013985041106296895	0.01874371403869779	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR51B5	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.03737273	2	1000	0.002997002997002997	-0.0004707151637289826	0.013132014872879069	0.013840039372548851	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
OR51B5	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.03729418	2	1000	0.002997002997002997	3.8823540972771297e-05	0.012999259793445572	0.014121532014392701	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
OR51B5	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.036019184	4	1000	0.004995004995004995	0.0001952809052691009	0.013610889004180785	0.01901599019686584	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
OR51B5	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.035835933	4	1000	0.004995004995004995	-0.00022771553896745898	0.013095339330971997	0.016285716552747576	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
OR51B5	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.035276763	4	1000	0.004995004995004995	0.0003829167058247549	0.013179753154619903	0.01864447164486638	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
OR51B5	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.034716673	2	1000	0.002997002997002997	-0.00017695285667559802	0.013309148610997825	0.019264592736001562	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
OR51B5	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.034715284	8	1000	0.008991008991008992	6.572241711205607e-05	0.013690335302816027	0.021618759311224367	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
OR51B5	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.034692958	4	1000	0.004995004995004995	-0.0002964322267202988	0.01300197807838875	0.017640667460701698	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
OR51B5	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.034566693	1	1000	0.001998001998001998	0.00031134631652889765	0.012983648325619754	0.01886340305439682	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
OR51B5	BBAAXEBKKSKXHK-FPLPWBNLSA-N	140.46	2460	1	1	0.033695266	7	1000	0.007992007992007992	-0.0005445316592417839	0.012718564998153246	0.017617594530194958	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC2=C(C=C1F)C(=C3C(=O)NC(=S)S3)C(=O)N2
OR51B5	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.033688605	6	1000	0.006993006993006993	0.000519743408350223	0.013672491290322027	0.02469629205001611	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
