target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR5AK3P	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.049310625	0	1000	0.000999000999000999	-0.0002442468578374246	0.013850027133399044	0.005690357345174979	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR5AK3P	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.04092883	1	1000	0.001998001998001998	0.008092777294951703	0.010307140435709636	0.00939269038478785	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
OR5AK3P	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03939802	0	1000	0.000999000999000999	-0.00011469116205785213	0.013086018919937381	0.011612675270695205	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR5AK3P	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.03915293	3	1000	0.003996003996003996	0.0006941593021892914	0.01393482457440901	0.016162432770934654	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR5AK3P	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.037924718	3	1000	0.003996003996003996	0.000190110464591271	0.01357586359676389	0.015763726190647143	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
OR5AK3P	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.037486725	2	1000	0.002997002997002997	6.0646955516858726e-05	0.013045895785768551	0.01407053143268433	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
OR5AK3P	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.0374685	2	1000	0.002997002997002997	-0.0004957866158802062	0.01310628553968848	0.013580245622418663	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
OR5AK3P	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.036536325	5	1000	0.005994005994005994	-0.0002525805167133512	0.013131337115131293	0.015327066382719745	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
OR5AK3P	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.035663072	4	1000	0.004995004995004995	0.0003373614774127418	0.013171945357393869	0.017847987847916302	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
OR5AK3P	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.034989543	4	1000	0.004995004995004995	0.0004917230858482071	0.013622216104556918	0.02157719409017933	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
OR5AK3P	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.03497649	3	1000	0.003996003996003996	-0.00027200890368066867	0.012988702246246351	0.01713886101857809	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
OR5AK3P	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.034617074	3	1000	0.003996003996003996	-0.00015365556696133353	0.013310524769549555	0.019498536897371133	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
OR5AK3P	QWGDMFLQWFTERH-UHFFFAOYSA-N	43.43	3134	1	1	0.03419074	6	1000	0.006993006993006993	0.0001350749291579838	0.0132766482945647	0.02070251056766248	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
OR5AK3P	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.03402695	8	1000	0.008991008991008992	3.873239246604498e-05	0.013678866505980004	0.022923974971253314	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
OR5AK3P	NBLWZWQTORFRDM-UHFFFAOYSA-N	12.99	3270	1	1	0.03393972	5	1000	0.005994005994005994	-0.00018969369443766482	0.013225528657204428	0.020299421156650288	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCSC1=CC=CC=C1C(=O)NCC2=CC=CO2
