target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR5K4	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.04947598	0	1000	0.000999000999000999	-0.0002555176175771976	0.013841052840697822	0.005581657125790507	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR5K4	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.040638734	1	1000	0.001998001998001998	0.008094521448620526	0.010289130910030867	0.009669904702135357	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
OR5K4	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.0394663	0	1000	0.000999000999000999	-0.00010485298982177937	0.013091940491154027	0.011566888688512744	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR5K4	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.039384365	3	1000	0.003996003996003996	0.0007045910723463748	0.013933838668993146	0.015835630049384708	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR5K4	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.03832328	1	1000	0.001998001998001998	0.00019678295623998566	0.013564532730139488	0.015149852672167285	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
OR5K4	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.03760836	2	1000	0.002997002997002997	-0.000497760054500759	0.013098269572915537	0.013363994841683935	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
OR5K4	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.03745386	3	1000	0.003996003996003996	6.553158957831329e-05	0.01303646728245873	0.014085247084635766	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
OR5K4	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.03663869	5	1000	0.005994005994005994	-0.0002320787144390124	0.013134640668309898	0.015219613747393113	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
OR5K4	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.035585903	4	1000	0.004995004995004995	0.00033798579448830426	0.013178117818321951	0.018011136572111064	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
OR5K4	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.03521257	4	1000	0.004995004995004995	0.0004928343347060036	0.013630505815506322	0.02117740846948679	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
OR5K4	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.035032596	2	1000	0.002997002997002997	-0.0002638260188687127	0.012974503226776929	0.01699425629564033	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
OR5K4	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.03480432	2	1000	0.002997002997002997	-0.00015483710138323659	0.013313920604596286	0.019167393177723757	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
OR5K4	QWGDMFLQWFTERH-UHFFFAOYSA-N	43.43	3134	1	1	0.034166016	6	1000	0.006993006993006993	0.000142464605771238	0.013267826900531002	0.020721306493735714	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
OR5K4	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.03401411	9	1000	0.00999000999000999	4.248278664090321e-05	0.013671394853372536	0.02291978018021057	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
OR5K4	NBLWZWQTORFRDM-UHFFFAOYSA-N	12.99	3270	1	1	0.033748765	5	1000	0.005994005994005994	-0.0001765334110934873	0.013221832371026657	0.020682171537638183	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCSC1=CC=CC=C1C(=O)NCC2=CC=CO2
