target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR6C70	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.04891617	0	1000	0.000999000999000999	-0.0002452794410976935	0.013854789778251381	0.005910081756876573	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR6C70	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.040790092	1	1000	0.001998001998001998	0.008096106834159855	0.010292127158619872	0.009503114341176344	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
OR6C70	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.039753243	3	1000	0.003996003996003996	0.0007006272433118284	0.013939676695999078	0.015328385567254688	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR6C70	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.039688986	0	1000	0.000999000999000999	-0.00010155994950582681	0.013089851681393774	0.011315332747425688	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR6C70	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.037920233	3	1000	0.003996003996003996	0.00020143726483365753	0.013557550102082946	0.01571189594535527	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
OR6C70	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.037515707	2	1000	0.002997002997002997	-0.0004759526778207146	0.013118149922596873	0.01358947151522616	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
OR6C70	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.037107978	3	1000	0.003996003996003996	5.956780236010673e-05	0.013056710817851595	0.01464265348150906	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
OR6C70	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.036990024	4	1000	0.004995004995004995	-0.00022977753888335427	0.013140350294523805	0.01473649107307562	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
OR6C70	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.035648707	4	1000	0.004995004995004995	0.0004956812663733103	0.013613107717954757	0.02025510220322746	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
OR6C70	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.035267744	2	1000	0.002997002997002997	-0.00015183800691556825	0.013276987978735149	0.018171814512514595	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
