target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR8G5	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.049063426	0	1000	0.000999000999000999	-0.00026711790170520544	0.013854337173002934	0.005817691826633609	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR8G5	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.040268574	2	1000	0.002997002997002997	0.008110900469356239	0.010280974109239364	0.010112753254354678	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
OR8G5	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.039813455	0	1000	0.000999000999000999	-0.00012812941625725216	0.013102391363459495	0.011191646793857979	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR8G5	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.039237343	4	1000	0.004995004995004995	0.000684512761708902	0.013936438326733901	0.016030772850833652	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR8G5	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.038274977	1	1000	0.001998001998001998	0.00018847666064175428	0.013573600849643635	0.015243162530563903	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
OR8G5	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.03787155	1	1000	0.001998001998001998	-0.000500071933169238	0.0131009536159515	0.013033248412868348	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
OR8G5	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.037379805	2	1000	0.002997002997002997	6.018351177772274e-05	0.013051630846500068	0.014240281669680721	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
OR8G5	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.03663156	5	1000	0.005994005994005994	-0.00025299946792893026	0.013129218773552937	0.015176866274112966	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
OR8G5	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.03513226	3	1000	0.003996003996003996	-0.000272499429261444	0.012997148827059195	0.016916736447216252	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
OR8G5	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.03494544	4	1000	0.004995004995004995	0.00048611686580306925	0.013628931086683897	0.021688954544163197	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
