target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
QRFPR	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.049421914	1	1000	0.001998001998001998	-0.0003854603488434805	0.013827221901962047	0.005517200262834421	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
QRFPR	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.039854314	0	1000	0.000999000999000999	-0.00010546544033923055	0.013121162562506932	0.011234181115023834	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
QRFPR	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.038698744	1	1000	0.001998001998001998	0.00016431414467660944	0.01361436922946002	0.0147751547607462	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
QRFPR	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.038448088	4	1000	0.004995004995004995	0.008131047486842817	0.01025744331352327	0.012597340643791366	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
QRFPR	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.038380112	6	1000	0.006993006993006993	0.0006968585335780517	0.013935291373282725	0.017349812746635496	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
QRFPR	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.03773693	2	1000	0.002997002997002997	-0.0005076841497684654	0.013090571346780046	0.01315636662500519	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
QRFPR	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.0365837	1	1000	0.001998001998001998	-0.00028824036943854024	0.012947086932094036	0.01445013647319704	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
QRFPR	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.03635379	3	1000	0.003996003996003996	-0.00029431657238455954	0.013051735551524788	0.015204683070087266	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
QRFPR	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.035624318	5	1000	0.005994005994005994	5.6073037438181925e-05	0.013032026180232194	0.016804071745560645	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
QRFPR	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.03552993	2	1000	0.002997002997002997	-0.000194495316440225	0.013285332167670041	0.017687134871172905	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
