target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
S1PR1	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.0495302	1	1000	0.001998001998001998	-0.00042752678396652756	0.013828994479232045	0.005444223158875272	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
S1PR1	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.039341472	0	1000	0.000999000999000999	-0.00011936306514689931	0.013137577353123507	0.011848960497536143	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
S1PR1	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.037924085	3	1000	0.003996003996003996	-0.00027502508718680474	0.013017578357129125	0.0129421166807826	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
S1PR1	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.03783633	5	1000	0.005994005994005994	0.0006970838730103423	0.013955758537030868	0.0183232209533829	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
S1PR1	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.037570763	7	1000	0.007992007992007992	0.008196903892629052	0.010147489823668294	0.013614108682614146	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
S1PR1	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.03734755	5	1000	0.005994005994005994	0.00016494292782135743	0.013571187335722502	0.01658064336672671	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
S1PR1	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.037340872	2	1000	0.002997002997002997	-0.00043858405278993475	0.01314431360893482	0.013974022042347767	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
S1PR1	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.03675023	4	1000	0.004995004995004995	-1.4592759304832726e-05	0.013749710384750159	0.018031041059007102	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
S1PR1	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.03661842	1	1000	0.001998001998001998	-0.00019598588536609896	0.013268587972469121	0.01586399043098985	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
S1PR1	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.03628053	3	1000	0.003996003996003996	-0.0002753709863345648	0.012949457780961014	0.014916051826547316	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
S1PR1	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.036133014	7	1000	0.007992007992007992	-7.050919377343234e-05	0.01287293452859502	0.015118525667669469	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
S1PR1	BBAAXEBKKSKXHK-FPLPWBNLSA-N	140.46	2460	1	1	0.035760958	4	1000	0.004995004995004995	-0.0005705730968202261	0.012832384814545447	0.01475984840855793	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC2=C(C=C1F)C(=C3C(=O)NC(=S)S3)C(=O)N2
S1PR1	IYPRTJARXNUYNU-UHFFFAOYSA-N	200	2622	1	1	0.03560346	6	1000	0.006993006993006993	0.00043326125217572556	0.012971005584102505	0.017189799877386558	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CN=C1)C(=O)NC2=C(C=CS2)C(=O)N
S1PR1	KLMHBVQKLVFBDH-UHFFFAOYSA-N	5.08	1317	1	1	0.0354289	4	1000	0.004995004995004995	-0.00010108945821775705	0.013681180068393296	0.019880461410390238	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CN1CCN(CC1)c2cc(ncn2)n3nc(cc3c4ccccc4)C(F)(F)F
S1PR1	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.035399996	1	1000	0.001998001998001998	0.00033711544851757933	0.01295990831922678	0.01732053226168484	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
