target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
TRPC3	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.050053094	1	1000	0.001998001998001998	-0.0004089789264689898	0.013806386492990106	0.005156516543450396	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
TRPC3	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.039331056	4	1000	0.004995004995004995	0.0007163723302684275	0.013933844122621207	0.01593005033569528	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
TRPC3	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.038389865	3	1000	0.003996003996003996	0.008134213538841322	0.010199657724942272	0.012426301379243498	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
TRPC3	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.03833883	1	1000	0.001998001998001998	0.00018984746005116905	0.013551981834661548	0.015067886141685527	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
TRPC3	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03725341	0	1000	0.000999000999000999	-8.240956304507563e-05	0.013095108166662183	0.014390783754541947	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
TRPC3	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.03683012	3	1000	0.003996003996003996	-0.0002697134858608763	0.013010026421171874	0.014381501127481933	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
TRPC3	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.036329288	4	1000	0.004995004995004995	-4.942963105804665e-05	0.013737795015179972	0.018631653469362353	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
TRPC3	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.03570476	3	1000	0.003996003996003996	-0.0003164681555817879	0.012949729161299453	0.015721983466694622	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
TRPC3	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.035141584	3	1000	0.003996003996003996	-0.0005024164177066268	0.013010959188036764	0.016586616053347436	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
TRPC3	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.03468396	5	1000	0.005994005994005994	0.0005058869382246485	0.013715395085246239	0.022714954753489947	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
TRPC3	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.034664925	8	1000	0.008991008991008992	-3.618829808340252e-05	0.012785780331029162	0.017133236650106354	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
TRPC3	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.03445014	5	1000	0.005994005994005994	-0.0002809797299159982	0.013338478822117531	0.019708750956491272	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
TRPC3	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.03421501	8	1000	0.008991008991008992	-5.3486785587665506e-05	0.013045536376719243	0.019141188282904564	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
TRPC3	NKPCVLBBSSICKJ-UHFFFAOYSA-N	8.07	211	1	1	0.034131072	2	1000	0.002997002997002997	-0.00010363335760484915	0.013501668820800967	0.021491871097739867	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1CCC(CC1)C2=CC3=C(C=C2)N4CCN(C5C4=C3CCC5)CCBr
TRPC3	MRPKNNSABYPGBF-LSCFUAHRSA-N	56	1771	1	1	0.033782102	7	1000	0.007992007992007992	-0.00014143074898379383	0.013928721643532004	0.02439923833001112	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)CNC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O
