target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
TRPV1	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.050484333	0	1000	0.000999000999000999	-0.0003860375363019557	0.013807372355015817	0.004966746202833994	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
TRPV1	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.038659513	2	1000	0.002997002997002997	0.00025303002379587267	0.013575485118603134	0.014799960259040734	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
TRPV1	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.037790015	3	1000	0.003996003996003996	0.008101664101945062	0.010169260616782557	0.01319191871991432	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
TRPV1	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.036873374	7	1000	0.007992007992007992	0.0007426906114269229	0.01394968417157277	0.020056045443952897	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
TRPV1	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.0366942	3	1000	0.003996003996003996	1.1021275819075526e-05	0.013762850379225675	0.018226530143519493	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
TRPV1	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.036392152	0	1000	0.000999000999000999	-0.0001584113689264086	0.013106093289859011	0.015578564180291687	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
TRPV1	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.035467584	4	1000	0.004995004995004995	-0.00020360155828893768	0.013050724915236074	0.016719290688347543	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
TRPV1	BBAAXEBKKSKXHK-FPLPWBNLSA-N	140.46	2460	1	1	0.03544301	6	1000	0.006993006993006993	-0.0005507774916059134	0.012828676175543598	0.015246957354563384	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CC2=C(C=C1F)C(=C3C(=O)NC(=S)S3)C(=O)N2
TRPV1	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.035260763	8	1000	0.008991008991008992	-6.949668526794994e-05	0.012829991245034587	0.01628997775305796	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
TRPV1	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.035040066	7	1000	0.007992007992007992	-6.101130238903352e-06	0.013043645967682014	0.01773608740728383	0.8781472423486096	1.0	0.8360431641651717	1.0	0.8781472423486096	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
