target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
CALCR	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.04841146	0	1000	0.000999000999000999	0.0005034178292880825	0.013157549033028465	0.005248847659145239	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
CALCR	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.047004074	1	1000	0.001998001998001998	-1.5182412184003623e-05	0.01346372085304449	0.006349124951385621	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
CALCR	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.04648527	1	1000	0.001998001998001998	9.177638575783931e-05	0.013564546793067045	0.006962012015191532	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
CALCR	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.04470314	0	1000	0.000999000999000999	-0.0006206550066272029	0.013248673299383304	0.0069548615209886755	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
CALCR	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.044476938	0	1000	0.000999000999000999	0.0005190093913838609	0.013641216263998059	0.00896302915103675	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
CALCR	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.04283589	1	1000	0.001998001998001998	-7.339966169024592e-05	0.01315101537732966	0.008512614684919706	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
CALCR	DWAWHEKTGBPHCA-UHFFFAOYSA-N	21	984	1	1	0.041522954	1	1000	0.001998001998001998	-0.000585045612910335	0.013264795794446388	0.009529642462657084	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	COC1=CC=CC(=C1)C2(CCCC2)C3=CC=C(C=C3)O
CALCR	SNWBDFPUIISOQK-UHFFFAOYSA-N	54.9	1993	1	1	0.041232653	0	1000	0.000999000999000999	-0.0008699449696432566	0.013372098846122867	0.009849631873148024	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CN1C2=C(C(=O)N(C1=O)CC3=CC=CC=C3F)N(C=N2)CC4=CC=CC=C4
CALCR	HWQBVLBLCGPFTL-UHFFFAOYSA-N	53.1	2280	1	1	0.041200124	0	1000	0.000999000999000999	0.0005502953684135718	0.013289865817435381	0.011045739817305611	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCCCCCC1=C(C=C2C(=C1)C=C(C(=O)O2)C3=CN4C=CC(=CC4=N3)C)O
CALCR	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.041114934	0	1000	0.000999000999000999	-0.0001893967874293594	0.012822051214954756	0.00897543621647423	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
