target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
CALHM2	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.0459763	0	1000	0.000999000999000999	-0.0006314054868962558	0.0131228902405873	0.00588520737561582	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
CALHM2	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.044966456	0	1000	0.000999000999000999	0.00043287001225507995	0.013185843790210703	0.007353638586254374	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
CALHM2	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.044609074	2	1000	0.002997002997002997	3.1464275716643896e-06	0.013517974403630948	0.008120345321090516	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
CALHM2	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.043328527	0	1000	0.000999000999000999	0.0001915163614521589	0.013737331457808623	0.009955919252869538	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
CALHM2	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.04128034	1	1000	0.001998001998001998	0.00040686152922808107	0.013612189698822351	0.011863319778365411	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
CALHM2	XIDMFDHHHFAJEA-UHFFFAOYSA-N	49.47	3714	1	1	0.041112807	1	1000	0.001998001998001998	-0.0006039609155857307	0.01321359613053419	0.009742506654138783	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C=CC(=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C)Cl
CALHM2	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.040286846	0	1000	0.000999000999000999	-0.0003335565498309734	0.012825388576274074	0.00961799841349964	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
CALHM2	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.03986408	2	1000	0.002997002997002997	0.0001623406173620765	0.013552027356816118	0.01302227762399033	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
CALHM2	HWQBVLBLCGPFTL-UHFFFAOYSA-N	53.1	2280	1	1	0.039346192	1	1000	0.001998001998001998	0.0006607701678806279	0.013338203283590866	0.013516391179742349	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCCCCCC1=C(C=C2C(=C1)C=C(C(=O)O2)C3=CN4C=CC(=CC4=N3)C)O
CALHM2	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.038579322	1	1000	0.001998001998001998	-0.0001127078295744468	0.013414297296459477	0.013793977333272811	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
