target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
EDNRB	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.04549809	0	1000	0.000999000999000999	0.000522953826633966	0.013089416044447584	0.006822913449459289	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
EDNRB	DWAWHEKTGBPHCA-UHFFFAOYSA-N	21	984	1	1	0.045005467	0	1000	0.000999000999000999	-0.0006120922673640052	0.013349889127646881	0.006989903569518452	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	COC1=CC=CC(=C1)C2(CCCC2)C3=CC=C(C=C3)O
EDNRB	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.044726	0	1000	0.000999000999000999	-0.0002952169430477625	0.012935928341791508	0.0064470265023538476	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
EDNRB	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.043743845	0	1000	0.000999000999000999	-0.00015175500553959865	0.01333079201195797	0.00819277083537906	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
EDNRB	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.04366605	2	1000	0.002997002997002997	-7.594846044412407e-05	0.013616731708506587	0.009078932333988488	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
EDNRB	OMFFMHDBCLYMPU-UHFFFAOYSA-N	20.2	691	1	1	0.042231068	0	1000	0.000999000999000999	0.00039981759338843405	0.0134648140883224	0.010389688948999831	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])C
EDNRB	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.04163932	1	1000	0.001998001998001998	0.0003011984617287453	0.013762470649332309	0.011848610341297472	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
EDNRB	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.041259356	0	1000	0.000999000999000999	-0.0005287852773872146	0.01316660488602736	0.009537183231622115	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
EDNRB	MJEYESJLVCXAGP-UHFFFAOYSA-N	200	2541	1	1	0.041147243	1	1000	0.001998001998001998	-0.00029930068218163796	0.013341724187878629	0.010391976464514951	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCOC(=O)CN1C(=CC(=O)C2=C1C(=CC=C2)C)C
EDNRB	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.040420797	2	1000	0.002997002997002997	6.264619527519244e-05	0.013626881898983987	0.012500688854841902	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
