target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
GPR37L1	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.04808668	1	1000	0.001998001998001998	-1.7910151383148333e-05	0.01349136146998264	0.005781147177569612	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
GPR37L1	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.04681901	0	1000	0.000999000999000999	0.000495929543960301	0.013157203779855403	0.006122359129454136	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
GPR37L1	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.045358505	0	1000	0.000999000999000999	-0.0005297330135763332	0.013228235422294536	0.006541353681723039	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
GPR37L1	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.044790022	0	1000	0.000999000999000999	0.0002179349309076315	0.013931966401091234	0.009232092594542274	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
GPR37L1	OMFFMHDBCLYMPU-UHFFFAOYSA-N	20.2	691	1	1	0.04420198	0	1000	0.000999000999000999	0.0002595863568653272	0.013500006729823478	0.008598067476490834	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])C
GPR37L1	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.0441419	2	1000	0.002997002997002997	9.680907282563567e-05	0.013514499454126246	0.008553075933710352	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
GPR37L1	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.044120442	1	1000	0.001998001998001998	-1.5006203739176271e-05	0.013317062273288835	0.007971796388997698	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
GPR37L1	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.042653307	0	1000	0.000999000999000999	-0.00026044300272042167	0.012905542515759219	0.007860403165149799	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
GPR37L1	RBAOYVGXTOUWKG-UHFFFAOYSA-N	200	2425	1	1	0.04237932	1	1000	0.001998001998001998	0.0007938326439757475	0.013401631989280571	0.010438740552644266	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1CCC(CC1)C2C(=C(SC(=C2C#N)N)N)C#N
GPR37L1	MJEYESJLVCXAGP-UHFFFAOYSA-N	200	2541	1	1	0.04127595	1	1000	0.001998001998001998	-0.00029072423014531526	0.013379435079631937	0.01038902538364661	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCOC(=O)CN1C(=CC(=O)C2=C1C(=CC=C2)C)C
