target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
GRM6	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.046911504	1	1000	0.001998001998001998	-0.00010925242909615918	0.013394686776807462	0.006203800805358206	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
GRM6	MJEYESJLVCXAGP-UHFFFAOYSA-N	200	2541	1	1	0.044021312	0	1000	0.000999000999000999	-0.0002664952841105332	0.013303809849131683	0.007822955529867781	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCOC(=O)CN1C(=CC(=O)C2=C1C(=CC=C2)C)C
GRM6	XIDMFDHHHFAJEA-UHFFFAOYSA-N	49.47	3714	1	1	0.04326631	1	1000	0.001998001998001998	-0.0004696251282157391	0.013074425552492651	0.007662760088951837	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C=CC(=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C)Cl
GRM6	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.04323777	0	1000	0.000999000999000999	0.000530107354100437	0.012922269409734215	0.008066412715302618	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
GRM6	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.042371556	2	1000	0.002997002997002997	0.00010912318044938729	0.013636768182034237	0.01049032121990534	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
GRM6	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.042354662	0	1000	0.000999000999000999	-0.0005318737209062193	0.013155389069437643	0.008543266559948748	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
GRM6	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.04179471	1	1000	0.001998001998001998	0.00014675024590360408	0.013714913491983786	0.01136029496317581	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
GRM6	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.04040542	0	1000	0.000999000999000999	-0.00030383089495467173	0.012882134678530607	0.009704990752991027	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
GRM6	RBAOYVGXTOUWKG-UHFFFAOYSA-N	200	2425	1	1	0.039648682	1	1000	0.001998001998001998	0.0009062187197532694	0.013387091448818502	0.013625831485244766	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1CCC(CC1)C2C(=C(SC(=C2C#N)N)N)C#N
GRM6	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	701	1	1	0.03933764	1	1000	0.001998001998001998	0.0002165480676030711	0.01350001015926373	0.013559346697130992	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
GRM6	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.039106913	1	1000	0.001998001998001998	0.0003829180161351644	0.013598935026784699	0.014456008668465192	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
GRM6	DWAWHEKTGBPHCA-UHFFFAOYSA-N	21	984	1	1	0.03889314	2	1000	0.002997002997002997	-0.0006926194411407778	0.013244267507611167	0.01207408930702436	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	COC1=CC=CC(=C1)C2(CCCC2)C3=CC=C(C=C3)O
GRM6	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.038587425	1	1000	0.001998001998001998	-0.0001758048528135987	0.013242054610381325	0.013060447403404618	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
GRM6	OMFFMHDBCLYMPU-UHFFFAOYSA-N	20.2	691	1	1	0.038071208	0	1000	0.000999000999000999	0.00030377101802514517	0.013346127978437945	0.014786090819951525	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])C
GRM6	CYTGUIYGDYGBIQ-UHFFFAOYSA-N	26.93	3816	1	1	0.037852444	3	1000	0.003996003996003996	0.0004912178992044574	0.013622325565338366	0.01652113697391422	0.4539967945894401	1.0	0.7184882088431024	1.0	0.4539967945894401	BH	3818750	CSC1=NC2=C(C(=N1)N3CCNCC3)SC4=C2CCCC4
