target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
KCNK16	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.04611773	1	1000	0.001998001998001998	-0.00010513496473504347	0.013507406598311747	0.006945693164515543	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
KCNK16	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.04576321	0	1000	0.000999000999000999	-0.0005403064369093045	0.01317413925625736	0.0061695942839592455	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
KCNK16	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.04388259	0	1000	0.000999000999000999	0.0005002892920028899	0.013000897040068852	0.0077442695111973325	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
KCNK16	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	701	1	1	0.043243192	0	1000	0.000999000999000999	0.00016871080716782672	0.013541380330576964	0.009450485965606603	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
KCNK16	OMFFMHDBCLYMPU-UHFFFAOYSA-N	20.2	691	1	1	0.041894425	0	1000	0.000999000999000999	0.00016526671702115435	0.013381713846851875	0.010236220127647022	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])C
KCNK16	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.041679528	2	1000	0.002997002997002997	0.0001553519772069194	0.01361362375322371	0.01116636533709603	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
KCNK16	FLEURRNKVDUGOR-UHFFFAOYSA-N	22.4	707	1	1	0.0406815	2	1000	0.002997002997002997	0.0006584268169899588	0.013706386069092752	0.013181666210090759	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)Cl)[N+](=O)[O-]
KCNK16	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.040568653	1	1000	0.001998001998001998	-0.00037752508354969903	0.012841986038695703	0.009360327578813332	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
KCNK16	HWQBVLBLCGPFTL-UHFFFAOYSA-N	53.1	2280	1	1	0.0396952	0	1000	0.000999000999000999	0.0006132905901604318	0.013298750932353783	0.01287073861712773	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCCCCCC1=C(C=C2C(=C1)C=C(C(=O)O2)C3=CN4C=CC(=CC4=N3)C)O
KCNK16	XIDMFDHHHFAJEA-UHFFFAOYSA-N	49.47	3714	1	1	0.03948154	1	1000	0.001998001998001998	-0.0005947261074998096	0.013174586501842597	0.011284549958412105	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C=CC(=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C)Cl
KCNK16	MJEYESJLVCXAGP-UHFFFAOYSA-N	200	2541	1	1	0.0392577	1	1000	0.001998001998001998	-0.0001878328036846142	0.013350371159247015	0.012612990846712302	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCOC(=O)CN1C(=CC(=O)C2=C1C(=CC=C2)C)C
KCNK16	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.039079655	3	1000	0.003996003996003996	0.00018384359268657137	0.01373801951025224	0.014759556415882003	0.4539967945894401	1.0	0.7184882088431024	1.0	0.4539967945894401	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
KCNK16	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.038831256	1	1000	0.001998001998001998	-0.000231277612674603	0.013310149137048642	0.012936050830699264	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
KCNK16	UDSNAKLSPHPDSX-UHFFFAOYSA-N	150.42	2451	1	1	0.03849577	2	1000	0.002997002997002997	-0.0001979295423170697	0.012716915008723559	0.011273641958125857	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C1C(=O)O)C2=CC=CC=C2
KCNK16	SNWBDFPUIISOQK-UHFFFAOYSA-N	54.9	1993	1	1	0.03821734	1	1000	0.001998001998001998	-0.0009726055107330467	0.013401632151415575	0.013110724198707513	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CN1C2=C(C(=O)N(C1=O)CC3=CC=CC=C3F)N(C=N2)CC4=CC=CC=C4
