target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
LPAR2	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.047414284	1	1000	0.001998001998001998	1.8622776675329077e-05	0.013473174396505444	0.006145566838231198	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
LPAR2	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.04591545	0	1000	0.000999000999000999	0.0005162085021765961	0.013132899133004389	0.006642911660059259	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
LPAR2	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.045505945	0	1000	0.000999000999000999	-0.000578302165254172	0.01321594474921747	0.006392080203490913	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
LPAR2	RBAOYVGXTOUWKG-UHFFFAOYSA-N	200	2425	1	1	0.041972313	0	1000	0.000999000999000999	0.0008968474401344793	0.013415811655491085	0.01100339007253981	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1CCC(CC1)C2C(=C(SC(=C2C#N)N)N)C#N
LPAR2	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.041953936	2	1000	0.002997002997002997	0.00012405986101680355	0.013624922282593335	0.01088640857971368	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
LPAR2	OMFFMHDBCLYMPU-UHFFFAOYSA-N	20.2	691	1	1	0.04184284	0	1000	0.000999000999000999	0.00013866567307832157	0.013471716525337563	0.010536855354864483	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])C
LPAR2	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.04137775	1	1000	0.001998001998001998	-0.00017975476233823427	0.013311095639006192	0.01018868261709005	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
LPAR2	FLEURRNKVDUGOR-UHFFFAOYSA-N	22.4	707	1	1	0.041107733	1	1000	0.001998001998001998	0.0006844440589600183	0.013711893470894996	0.012719425732952483	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)Cl)[N+](=O)[O-]
LPAR2	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	701	1	1	0.041106876	0	1000	0.000999000999000999	0.00023936843864430556	0.013495175789793893	0.011482438098862735	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
LPAR2	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.040906712	0	1000	0.000999000999000999	-0.0002836305631237792	0.012829391200781762	0.009099215745760003	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
LPAR2	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.040469144	2	1000	0.002997002997002997	0.00024225324896497114	0.013851915952270848	0.013452498843616989	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
LPAR2	HWQBVLBLCGPFTL-UHFFFAOYSA-N	53.1	2280	1	1	0.04006606	0	1000	0.000999000999000999	0.0005600145123662515	0.013278069939334199	0.012285425938439065	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCCCCCC1=C(C=C2C(=C1)C=C(C(=O)O2)C3=CN4C=CC(=CC4=N3)C)O
LPAR2	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.039488032	1	1000	0.001998001998001998	0.0003777599009481492	0.013566471398134158	0.013820792956074524	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
LPAR2	XIDMFDHHHFAJEA-UHFFFAOYSA-N	49.47	3714	1	1	0.03936823	1	1000	0.001998001998001998	-0.0006033344636234688	0.013164594042520086	0.01136606718633737	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C=CC(=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C)Cl
LPAR2	MJEYESJLVCXAGP-UHFFFAOYSA-N	200	2541	1	1	0.037854254	3	1000	0.003996003996003996	-0.00018229380187767674	0.013464276778670974	0.014877563281039619	0.4539967945894401	1.0	0.7184882088431024	1.0	0.4539967945894401	BH	3818750	CCOC(=O)CN1C(=CC(=O)C2=C1C(=CC=C2)C)C
