target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
MC5R	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.04743013	1	1000	0.001998001998001998	6.915457821060045e-05	0.013558085165720003	0.006341841247688218	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
MC5R	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.045971144	0	1000	0.000999000999000999	-0.000575206768740827	0.013239122449509215	0.006160998398384798	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
MC5R	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.045882195	0	1000	0.000999000999000999	0.0005009279374917242	0.013219476521164864	0.006849853749397061	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
MC5R	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.04442269	1	1000	0.001998001998001998	-0.00011621722870586382	0.013328260936511108	0.0076967317906621036	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
MC5R	FLEURRNKVDUGOR-UHFFFAOYSA-N	22.4	707	1	1	0.043369133	1	1000	0.001998001998001998	0.0007359180938656209	0.01375150897524051	0.010475555170352813	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)Cl)[N+](=O)[O-]
MC5R	OMFFMHDBCLYMPU-UHFFFAOYSA-N	20.2	691	1	1	0.042235818	0	1000	0.000999000999000999	0.00027873706303171275	0.013516753887369667	0.010424592780240327	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])C
MC5R	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.041996777	1	1000	0.001998001998001998	0.00028928874236771663	0.013862564832000645	0.011773966399358904	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
MC5R	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.041977238	2	1000	0.002997002997002997	6.752119791053702e-05	0.013508683025392201	0.010446582748185773	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
MC5R	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.04059621	0	1000	0.000999000999000999	-0.0002675303351916227	0.012892829519111394	0.009589723803086758	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
MC5R	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.040074263	2	1000	0.002997002997002997	0.0003499630895585142	0.013515419875978237	0.012863882461153331	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
MC5R	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	701	1	1	0.039802574	0	1000	0.000999000999000999	0.0002973468010868601	0.013567617021727303	0.01332182441784735	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
MC5R	DWAWHEKTGBPHCA-UHFFFAOYSA-N	21	984	1	1	0.039745234	1	1000	0.001998001998001998	-0.0006453571464207925	0.013354286556367712	0.011537676876711367	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	COC1=CC=CC(=C1)C2(CCCC2)C3=CC=C(C=C3)O
MC5R	XIDMFDHHHFAJEA-UHFFFAOYSA-N	49.47	3714	1	1	0.039290205	2	1000	0.002997002997002997	-0.0005427782541737543	0.013208950464445158	0.011669888019677166	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C=CC(=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C)Cl
MC5R	HWQBVLBLCGPFTL-UHFFFAOYSA-N	53.1	2280	1	1	0.0388573	0	1000	0.000999000999000999	0.0005312566407810664	0.013336371443578349	0.013981265233763973	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCCCCCC1=C(C=C2C(=C1)C=C(C(=O)O2)C3=CN4C=CC(=CC4=N3)C)O
