target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR1A2	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.046480782	0	1000	0.000999000999000999	-0.0006427356714480084	0.01312453246230834	0.005599902903216436	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR1A2	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.045966886	0	1000	0.000999000999000999	0.00046264927375705157	0.01328862112756077	0.006925638696413827	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
OR1A2	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.044542585	2	1000	0.002997002997002997	6.784492971200962e-05	0.013428739718906332	0.007995210079824067	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
OR1A2	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.044414833	2	1000	0.002997002997002997	0.00010083641274559341	0.013520157592081293	0.00835309388697103	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
OR1A2	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.043731477	0	1000	0.000999000999000999	0.0004923337302025174	0.013660330330255481	0.009641100290487037	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
OR1A2	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.040980503	0	1000	0.000999000999000999	0.00018689942548917317	0.01372202948796456	0.01232354097361077	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
OR1A2	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.040554054	0	1000	0.000999000999000999	-0.00020589162940359528	0.012935587412209092	0.009818853985064546	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
OR1A2	XIDMFDHHHFAJEA-UHFFFAOYSA-N	49.47	3714	1	1	0.04008136	1	1000	0.001998001998001998	-0.0006348170174460393	0.013243167992164028	0.010825423614031826	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C=CC(=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C)Cl
OR1A2	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.03796065	1	1000	0.001998001998001998	-6.656845555971813e-05	0.013305457743026156	0.01426509726144265	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
OR1A2	CMCGHRHRAQYHQQ-UHFFFAOYSA-N	476	639	1	1	0.03744698	2	1000	0.002997002997002997	-0.0004718386910681147	0.013324472816864814	0.014488679734481646	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C2=CN(C(=N2)SCC(=O)NC3=CC=CC=C3Cl)C4=CC=CC=C4
OR1A2	UDSNAKLSPHPDSX-UHFFFAOYSA-N	150.42	2451	1	1	0.037417855	3	1000	0.003996003996003996	-0.000270570902428517	0.012912975886149666	0.013204920939943188	0.4539967945894401	1.0	0.7184882088431024	1.0	0.4539967945894401	BH	3818750	CC1=C(C1C(=O)O)C2=CC=CC=C2
