target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR2I1	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.047071148	0	1000	0.000999000999000999	-0.0005377972775586386	0.01314445303731108	0.005378848988706442	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR2I1	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.046150707	0	1000	0.000999000999000999	-8.11453895712475e-05	0.013380045330115647	0.006656730839991409	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
OR2I1	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.045575872	0	1000	0.000999000999000999	0.0005649132475077749	0.013052790148132525	0.0067157482421494885	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
OR2I1	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.042597704	0	1000	0.000999000999000999	0.00018174638251730358	0.013709099924393637	0.010559512473605648	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
OR2I1	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	701	1	1	0.040933166	1	1000	0.001998001998001998	0.00021933364557298772	0.013500958809094042	0.011669593537244727	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
OR2I1	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.040292	2	1000	0.002997002997002997	0.0001618411018653205	0.013614564589650843	0.012726810973538005	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
OR2I1	MJEYESJLVCXAGP-UHFFFAOYSA-N	200	2541	1	1	0.040211707	2	1000	0.002997002997002997	-0.0002197120100245229	0.013405913622165758	0.011664924054289871	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCOC(=O)CN1C(=CC(=O)C2=C1C(=CC=C2)C)C
OR2I1	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.039741755	2	1000	0.002997002997002997	0.00041426032263916566	0.013582998839524869	0.01360275892094076	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
OR2I1	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.03973025	1	1000	0.001998001998001998	-0.0003089101570976709	0.012941845369677647	0.010562542538817055	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
OR2I1	OMFFMHDBCLYMPU-UHFFFAOYSA-N	20.2	691	1	1	0.039357897	0	1000	0.000999000999000999	0.00023597413648167277	0.013362225688845349	0.013051834373755233	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])C
