target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR2L2	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.04637908	0	1000	0.000999000999000999	0.0004734955190824621	0.013276545620727796	0.006636667506023208	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
OR2L2	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.04615988	0	1000	0.000999000999000999	-0.0006136088842831668	0.013170250887060694	0.005886593652001282	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR2L2	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.045136303	2	1000	0.002997002997002997	4.160717742934139e-05	0.013501416859337576	0.0077133880607508365	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
OR2L2	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.044248737	2	1000	0.002997002997002997	5.023316469237216e-05	0.013423883800256085	0.008195599708032963	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
OR2L2	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.04342448	1	1000	0.001998001998001998	0.0004660074542014172	0.013698207549731958	0.010007700661967212	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
OR2L2	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.043339957	0	1000	0.000999000999000999	0.00017732047639219673	0.013728749699486304	0.00990738406397973	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
OR2L2	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.04196064	0	1000	0.000999000999000999	-0.00018561629252508282	0.01292461437910159	0.008533102971364337	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
OR2L2	XIDMFDHHHFAJEA-UHFFFAOYSA-N	49.47	3714	1	1	0.041520722	1	1000	0.001998001998001998	-0.0005722938447850083	0.013218422005882587	0.00940873515492513	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C=CC(=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C)Cl
OR2L2	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.03993313	1	1000	0.001998001998001998	-8.020514085274044e-05	0.013248462385261237	0.011601354229479499	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
OR2L2	DWAWHEKTGBPHCA-UHFFFAOYSA-N	21	984	1	1	0.039418258	1	1000	0.001998001998001998	-0.0006460430274082683	0.013222302464784844	0.01145684549631798	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	COC1=CC=CC(=C1)C2(CCCC2)C3=CC=C(C=C3)O
