target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR2W3	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.048684523	0	1000	0.000999000999000999	-0.0005840985793279287	0.013080835130383939	0.004470989634508871	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR2W3	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.04504902	2	1000	0.002997002997002997	-3.108270777011057e-05	0.013417032769398422	0.007519565959082097	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
OR2W3	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.044616748	0	1000	0.000999000999000999	0.0005111130607265295	0.013065305056999542	0.007368646406120227	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
OR2W3	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.041857824	0	1000	0.000999000999000999	0.00014975255381682474	0.013729709967248337	0.011344289635045302	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
OR2W3	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.041590076	0	1000	0.000999000999000999	-0.00029212492996521177	0.012855891501475812	0.008567039298694179	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
OR2W3	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.041467533	1	1000	0.001998001998001998	0.00034987734036621987	0.013666447429947073	0.0117737315370251	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
OR2W3	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.040056918	2	1000	0.002997002997002997	0.00014688450153698795	0.013627500648701892	0.013037883083271029	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
OR2W3	FLEURRNKVDUGOR-UHFFFAOYSA-N	22.4	707	1	1	0.040002983	1	1000	0.001998001998001998	0.0006516782869430244	0.013669919180182474	0.013894636409341521	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)Cl)[N+](=O)[O-]
OR2W3	HWQBVLBLCGPFTL-UHFFFAOYSA-N	53.1	2280	1	1	0.03956817	2	1000	0.002997002997002997	0.0005914980476572964	0.013375023989931897	0.013280996597550776	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCCCCCC1=C(C=C2C(=C1)C=C(C(=O)O2)C3=CN4C=CC(=CC4=N3)C)O
OR2W3	XIDMFDHHHFAJEA-UHFFFAOYSA-N	49.47	3714	1	1	0.039561685	2	1000	0.002997002997002997	-0.0006429692602255273	0.013077065312626313	0.01082630920319938	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C=CC(=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C)Cl
