target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR51F1	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.047378246	1	1000	0.001998001998001998	-0.00012951293675996566	0.013588894544305032	0.006318519901560737	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
OR51F1	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.044158936	0	1000	0.000999000999000999	-0.00047220435634687876	0.013187327959208708	0.007287991532376359	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR51F1	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.044107564	0	1000	0.000999000999000999	0.0004839879014671169	0.013079394268372745	0.007759913119625761	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
OR51F1	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.041540228	0	1000	0.000999000999000999	-0.00019128491391711577	0.012849600165981485	0.008678604996477879	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
OR51F1	DWAWHEKTGBPHCA-UHFFFAOYSA-N	21	984	1	1	0.04078625	1	1000	0.001998001998001998	-0.0006855438543466334	0.013350225990996415	0.010393128369091897	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	COC1=CC=CC(=C1)C2(CCCC2)C3=CC=C(C=C3)O
OR51F1	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.040606126	0	1000	0.000999000999000999	0.0003519771015720607	0.0136316830954009	0.012639621928325684	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
OR51F1	OMFFMHDBCLYMPU-UHFFFAOYSA-N	20.2	691	1	1	0.040445518	0	1000	0.000999000999000999	0.00023947206147568068	0.013386526151870474	0.011851835531454302	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])C
OR51F1	KXBVFAPIVKCNEZ-UHFFFAOYSA-N	200	2396	1	1	0.039946593	1	1000	0.001998001998001998	9.985562364818179e-05	0.013156971587097915	0.011478637589409035	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1CC(=O)N(C1=O)CNC2=CC(=CC=C2)Cl
OR51F1	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.039818756	1	1000	0.001998001998001998	-0.00021071350252168487	0.013280722080088325	0.011692258759163243	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
OR51F1	XIDMFDHHHFAJEA-UHFFFAOYSA-N	49.47	3714	1	1	0.039651226	1	1000	0.001998001998001998	-0.00042416129860521325	0.013122440520248631	0.011112864973756742	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C=CC(=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C)Cl
