target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR52E8	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.046863757	1	1000	0.001998001998001998	-0.0001322835785249481	0.013615432375055577	0.006687512404754292	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
OR52E8	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.044152707	0	1000	0.000999000999000999	0.0004540515113346828	0.013019054930233406	0.007552310650067007	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
OR52E8	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.044050712	0	1000	0.000999000999000999	-0.0004674765732179367	0.01313745034213949	0.007248503607263257	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR52E8	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.04244264	0	1000	0.000999000999000999	-0.000267046300767106	0.01282943363760847	0.00782213359833761	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
OR52E8	OMFFMHDBCLYMPU-UHFFFAOYSA-N	20.2	691	1	1	0.04149667	0	1000	0.000999000999000999	0.00018460736965698744	0.013378752958687588	0.010642198240446321	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])C
OR52E8	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.04018337	0	1000	0.000999000999000999	0.00033661560698237735	0.013594374162917361	0.012996722952044792	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
OR52E8	DWAWHEKTGBPHCA-UHFFFAOYSA-N	21	984	1	1	0.04016803	1	1000	0.001998001998001998	-0.0007398698662505368	0.01338929462167263	0.011094303480132517	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	COC1=CC=CC(=C1)C2(CCCC2)C3=CC=C(C=C3)O
OR52E8	HWQBVLBLCGPFTL-UHFFFAOYSA-N	53.1	2280	1	1	0.039962083	0	1000	0.000999000999000999	0.0005821820806395408	0.013211259257020741	0.01219962781475803	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCCCCCC1=C(C=C2C(=C1)C=C(C(=O)O2)C3=CN4C=CC(=CC4=N3)C)O
OR52E8	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.039880212	1	1000	0.001998001998001998	-0.00022083686097539612	0.013280732681431573	0.011612218797072082	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
OR52E8	MJEYESJLVCXAGP-UHFFFAOYSA-N	200	2541	1	1	0.0396569	2	1000	0.002997002997002997	-0.00021326007687639504	0.013403533676594996	0.01229615055985167	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCOC(=O)CN1C(=CC(=O)C2=C1C(=CC=C2)C)C
OR52E8	XIDMFDHHHFAJEA-UHFFFAOYSA-N	49.47	3714	1	1	0.039341286	1	1000	0.001998001998001998	-0.0004686310714170077	0.01312385758061938	0.011408068975239383	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C=CC(=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C)Cl
OR52E8	KXBVFAPIVKCNEZ-UHFFFAOYSA-N	200	2396	1	1	0.039332632	1	1000	0.001998001998001998	0.00011273576550979669	0.01317818492398927	0.01227231721701516	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1CC(=O)N(C1=O)CNC2=CC(=CC=C2)Cl
OR52E8	UDSNAKLSPHPDSX-UHFFFAOYSA-N	150.42	2451	1	1	0.03892581	2	1000	0.002997002997002997	-0.00012003445461778028	0.012912163030626207	0.011546252947568836	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C1C(=O)O)C2=CC=CC=C2
OR52E8	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	701	1	1	0.03881661	1	1000	0.001998001998001998	0.0002096723454342282	0.013469213521433076	0.014115242293643027	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
OR52E8	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.038323533	3	1000	0.003996003996003996	3.372801741261355e-05	0.013677382454847453	0.015368348412558186	0.4539967945894401	1.0	0.7184882088431024	1.0	0.4539967945894401	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
