target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR52N5	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.04701442	1	1000	0.001998001998001998	-0.0001133446638850728	0.01358647824673745	0.006543326564216523	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
OR52N5	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.044472687	0	1000	0.000999000999000999	0.0004333502414083341	0.013077719488407616	0.007446964983335969	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
OR52N5	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.04412484	0	1000	0.000999000999000999	-0.0004814041606732644	0.013164960200556658	0.007252137928839053	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR52N5	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.04194865	0	1000	0.000999000999000999	-0.0002268755048762614	0.012864578326315223	0.008344580401486668	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
OR52N5	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.041631963	0	1000	0.000999000999000999	0.00037746023387444437	0.013597455328274905	0.01139954060301207	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
OR52N5	OMFFMHDBCLYMPU-UHFFFAOYSA-N	20.2	691	1	1	0.04061494	0	1000	0.000999000999000999	0.000245564840519819	0.013387416339586457	0.011671877893198013	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])C
OR52N5	DWAWHEKTGBPHCA-UHFFFAOYSA-N	21	984	1	1	0.04052434	1	1000	0.001998001998001998	-0.0007100722398604376	0.013348441731318116	0.010625991707185811	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	COC1=CC=CC(=C1)C2(CCCC2)C3=CC=C(C=C3)O
OR52N5	UDSNAKLSPHPDSX-UHFFFAOYSA-N	150.42	2451	1	1	0.040323004	2	1000	0.002997002997002997	-0.00014834088670022538	0.012911348754706639	0.010026993915769555	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C1C(=O)O)C2=CC=CC=C2
OR52N5	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.039932746	2	1000	0.002997002997002997	-2.6313542756213336e-06	0.013641376321666189	0.013056519093918806	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
OR52N5	HWQBVLBLCGPFTL-UHFFFAOYSA-N	53.1	2280	1	1	0.039913625	1	1000	0.001998001998001998	0.0005394829825963825	0.013215445736952536	0.012221108044321527	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCCCCCC1=C(C=C2C(=C1)C=C(C(=O)O2)C3=CN4C=CC(=CC4=N3)C)O
OR52N5	KXBVFAPIVKCNEZ-UHFFFAOYSA-N	200	2396	1	1	0.03956421	1	1000	0.001998001998001998	0.00014177560783900845	0.013124865151719149	0.011849209907652147	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1CC(=O)N(C1=O)CNC2=CC(=CC=C2)Cl
OR52N5	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.03947426	1	1000	0.001998001998001998	-0.00020379113854141905	0.013242220146847625	0.011960241496656088	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
OR52N5	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.039314017	1	1000	0.001998001998001998	0.00021263278407604956	0.013692581389501385	0.014307928991763363	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
OR52N5	OZNHWVNFKJECRK-UHFFFAOYSA-N	66.8	701	1	1	0.038690984	0	1000	0.000999000999000999	0.0002379337825705079	0.013471476512425739	0.01433084679372798	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)N=C(C=C2NC3=C(C(=CC=C3)Cl)C)C
OR52N5	MJEYESJLVCXAGP-UHFFFAOYSA-N	200	2541	1	1	0.038411126	2	1000	0.002997002997002997	-0.00023385662607506674	0.013400710708479717	0.01380428472743156	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCOC(=O)CN1C(=CC(=O)C2=C1C(=CC=C2)C)C
