target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR5T1	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.049254872	0	1000	0.000999000999000999	-0.000583577256566059	0.013192958935616471	0.004407470139968561	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR5T1	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.04607251	0	1000	0.000999000999000999	0.0005138950076589026	0.013303736998035965	0.0069238982686947725	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
OR5T1	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.04402725	2	1000	0.002997002997002997	5.003714461054187e-05	0.013553163021139271	0.008710761319581817	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
OR5T1	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.04350106	2	1000	0.002997002997002997	5.478626141712084e-05	0.013539672267611918	0.009120272590214973	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
OR5T1	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.04349496	0	1000	0.000999000999000999	0.00015912466218833288	0.013738959527955043	0.009778378379443287	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
OR5T1	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.0427119	1	1000	0.001998001998001998	0.00035331073161978566	0.013651610687130965	0.010441264778195625	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
OR5T1	XIDMFDHHHFAJEA-UHFFFAOYSA-N	49.47	3714	1	1	0.0413094	1	1000	0.001998001998001998	-0.0004864058561925049	0.01318659157867405	0.00958880444009802	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C=CC(=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C)Cl
OR5T1	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.039866958	0	1000	0.000999000999000999	-0.0003264149120871025	0.012853631124306349	0.010124072156042052	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
OR5T1	OMFFMHDBCLYMPU-UHFFFAOYSA-N	20.2	691	1	1	0.03961571	1	1000	0.001998001998001998	0.00029699563106260027	0.013440448001991009	0.01309177116273963	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])C
OR5T1	KXBVFAPIVKCNEZ-UHFFFAOYSA-N	200	2396	1	1	0.03933228	1	1000	0.001998001998001998	0.00013466214994150506	0.013046164638343965	0.011835816786331499	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1CC(=O)N(C1=O)CNC2=CC(=CC=C2)Cl
