target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR7G1	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.047118075	0	1000	0.000999000999000999	0.00048778948971812497	0.013269469634811137	0.006174524759454569	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
OR7G1	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.04600978	0	1000	0.000999000999000999	-0.0006566749638689088	0.013126292215888506	0.005858512427489582	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR7G1	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.044138458	1	1000	0.001998001998001998	0.0004492879938861734	0.013681196910650544	0.00930182043851846	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
OR7G1	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.043651022	2	1000	0.002997002997002997	0.00013649759261579676	0.013535484883497985	0.009050271542268007	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
OR7G1	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.042523425	3	1000	0.003996003996003996	5.242207034328317e-05	0.013471202151881407	0.009797167532586415	0.4539967945894401	1.0	0.7184882088431024	1.0	0.4539967945894401	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
OR7G1	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.041680135	0	1000	0.000999000999000999	-0.0002280917335265258	0.012939012362497025	0.008776508751282108	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
OR7G1	XIDMFDHHHFAJEA-UHFFFAOYSA-N	49.47	3714	1	1	0.040421013	1	1000	0.001998001998001998	-0.0006970163795213012	0.013210754515259488	0.010313639880602854	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C=CC(=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C)Cl
OR7G1	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.039115492	2	1000	0.002997002997002997	0.0002460582577914465	0.013725484343739571	0.014747086617703964	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
OR7G1	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.038819246	1	1000	0.001998001998001998	-4.322538909582363e-05	0.013330736049859111	0.013262149320190542	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
OR7G1	LZFBSWZQNARANH-UHFFFAOYSA-N	64.5	2255	1	1	0.038450457	3	1000	0.003996003996003996	0.0002564407050158479	0.01329845959117892	0.014012195966475072	0.4539967945894401	1.0	0.7184882088431024	1.0	0.4539967945894401	BH	3818750	C1CCN(CC1)CC2=C3C=CC=NC3=C(C=C2)O
OR7G1	UDSNAKLSPHPDSX-UHFFFAOYSA-N	150.42	2451	1	1	0.0378823	3	1000	0.003996003996003996	-0.0002337512624981173	0.012870823741796758	0.012504299036506517	0.4539967945894401	1.0	0.7184882088431024	1.0	0.4539967945894401	BH	3818750	CC1=C(C1C(=O)O)C2=CC=CC=C2
OR7G1	KXBVFAPIVKCNEZ-UHFFFAOYSA-N	200	2396	1	1	0.03725792	1	1000	0.001998001998001998	0.00017703202635630078	0.01306234877485547	0.014619151560181454	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1CC(=O)N(C1=O)CNC2=CC(=CC=C2)Cl
OR7G1	FLEURRNKVDUGOR-UHFFFAOYSA-N	22.4	707	1	1	0.03721161	3	1000	0.003996003996003996	0.0006325509208348876	0.01373098257817376	0.01825891348813591	0.4539967945894401	1.0	0.7184882088431024	1.0	0.4539967945894401	BH	3818750	C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)Cl)[N+](=O)[O-]
OR7G1	CQYPNBZMQNYREY-UHFFFAOYSA-N	8.29	1982	1	1	0.03666406	1	1000	0.001998001998001998	-0.0006129549291545118	0.01331697761486519	0.015373983261361412	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)C(=O)C(=CO2)C(=O)C3=CC=CS3
OR7G1	MJEYESJLVCXAGP-UHFFFAOYSA-N	200	2541	1	1	0.03636411	2	1000	0.002997002997002997	-0.0002578371161907853	0.01343377785213322	0.01687229045537575	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CCOC(=O)CN1C(=CC(=O)C2=C1C(=CC=C2)C)C
