target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR9K2	CLQPEZWMMZFTBG-UHFFFAOYSA-N	4.09	737	1	1	0.048287626	0	1000	0.000999000999000999	-0.0006066626582274922	0.01311255509158707	0.004691716070609919	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC12C=CC(O1)(C3C2C(=O)N(C3=O)C4=CC=CC(=C4)C(F)(F)F)C
OR9K2	DUCXQFAHDINGEV-UHFFFAOYSA-N	211	1093	1	1	0.045533348	0	1000	0.000999000999000999	0.000432272703423223	0.01325482919216362	0.0071202732886543885	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=C(O2)C(=O)NC3=CC=CC=N3
OR9K2	UQOWKTPSEYWQSM-UHFFFAOYSA-N	18.6	2093	1	1	0.044507984	2	1000	0.002997002997002997	8.131302009132923e-06	0.013574197246661071	0.008346232124726627	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1C(SC2=CC=CC=C2N=C1C3=CC4=CC=CC=C4OC3=O)C5=CC=C(C=C5)[N+](=O)[O-]
OR9K2	LELHZGOHVCQBJP-UHFFFAOYSA-N	68.6	2097	1	1	0.042659674	0	1000	0.000999000999000999	0.0001789950851859885	0.013765557012934866	0.010667666268656117	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4
OR9K2	DBYNPBSEYSAOIS-UHFFFAOYSA-O	62.6	659	1	1	0.04192796	2	1000	0.002997002997002997	0.00010995912840940036	0.013635125145402067	0.010930491732707548	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)C[N+]3=CC=CC(=C3)C(=O)NC4=CC=CC=C4
OR9K2	XIDMFDHHHFAJEA-UHFFFAOYSA-N	49.47	3714	1	1	0.04120403	1	1000	0.001998001998001998	-0.0005314009042258476	0.013223894124027873	0.009755535388468517	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=C(C=CC(=C1)N2C(=C(N=N2)C(=O)NC3=CC=CC(=C3)C(C)O)C)Cl
OR9K2	GNMYBBZJYXAFKU-LDADJPATSA-N	40.9	2291	1	1	0.040978994	2	1000	0.002997002997002997	0.0003109758678865546	0.01369036951117676	0.012359694825373135	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C=CC=C2N3C(=O)C(=CC4=CNC5=CC=CC=C54)C(=O)NC3=S
OR9K2	KXBVFAPIVKCNEZ-UHFFFAOYSA-N	200	2396	1	1	0.04007711	1	1000	0.001998001998001998	9.81666476600367e-05	0.013101463923426494	0.01114795294741222	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1CC(=O)N(C1=O)CNC2=CC(=CC=C2)Cl
OR9K2	DZJHGENTBHDAEE-UHFFFAOYSA-N	71.43	3782	1	1	0.03982026	0	1000	0.000999000999000999	-0.0002688146126874926	0.012872767451164504	0.01029013403763912	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=NNC(=O)N=C1SCC(=O)NC2=CC=C(C=C2)Br
OR9K2	IQYSTSHQRRVQGE-UHFFFAOYSA-N	51.82	1992	1	1	0.03946785	1	1000	0.001998001998001998	-0.00014989322005806117	0.013297354668052009	0.01222162260404347	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC2=C(C=C1)OC(=CC2=O)C(Cl)(Cl)Cl
OR9K2	FLEURRNKVDUGOR-UHFFFAOYSA-N	22.4	707	1	1	0.039124466	1	1000	0.001998001998001998	0.0007128528498932383	0.01372310177149287	0.015377162022780055	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)Cl)[N+](=O)[O-]
OR9K2	DWAWHEKTGBPHCA-UHFFFAOYSA-N	21	984	1	1	0.038906813	3	1000	0.003996003996003996	-0.0006988024584643427	0.013353660248191457	0.01243327745392897	0.4539967945894401	1.0	0.7184882088431024	1.0	0.4539967945894401	BH	3818750	COC1=CC=CC(=C1)C2(CCCC2)C3=CC=C(C=C3)O
OR9K2	LAAMFYYXHGDSRH-UHFFFAOYSA-N	155	1000	1	1	0.038314655	1	1000	0.001998001998001998	-0.00037652342896763	0.01362340540305646	0.014595147989876267	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	C1=CC=C(C(=C1)C(=O)O)NNC=C2C=CC=CC2=O
OR9K2	OMFFMHDBCLYMPU-UHFFFAOYSA-N	20.2	691	1	1	0.037553653	0	1000	0.000999000999000999	0.0003296772157472674	0.01337487981451379	0.01569189109978142	0.4472723618416912	1.0	0.7184882088431024	1.0	0.4472723618416912	BH	3818750	CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC(=C(C=C2)Cl)[N+](=O)[O-])C
OR9K2	JXAZCJXZHNNUAC-UHFFFAOYSA-N	64.4	2034	1	1	0.03731182	4	1000	0.004995004995004995	0.0003284653782684472	0.013971821779947722	0.01865722908989631	0.4620243508459568	1.0	0.7184882088431024	1.0	0.4620243508459568	BH	3818750	C1=CC=C2C(=C1)C(=CC=C2F)CSC3=NC=NC4=C3NC=N4
