target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
CATSPER2	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.047619037	1	1000	0.001998001998001998	-0.00031900399343737717	0.01394021908030731	0.006798215923150663	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
CATSPER2	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.04573106	2	1000	0.002997002997002997	0.0006674363276924851	0.013962909051305573	0.008906604358600023	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
CATSPER2	JOZKFWLRHCDGJA-LLVKDONJSA-N	100	2921	1	1	0.045472603	0	1000	0.000999000999000999	-0.00022601889652563046	0.012934360093223143	0.006026213394933033	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC(CCC=C(C)C)CCOC(=O)C
CATSPER2	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.045249235	1	1000	0.001998001998001998	0.00011104263808738324	0.013584675867922969	0.00788544581658246	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
CATSPER2	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.043876227	0	1000	0.000999000999000999	0.006468406955831142	0.011138921806452012	0.007535125592330605	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
CATSPER2	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.042916235	0	1000	0.000999000999000999	-0.000100669396541889	0.013054620818855748	0.008168214930017292	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
CATSPER2	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.042119656	1	1000	0.001998001998001998	0.0004785634489453514	0.013728007552346213	0.011409609304661505	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
CATSPER2	BWCBGYFBSVPRLL-UHFFFAOYSA-N	15.4	2554	1	1	0.041101284	0	1000	0.000999000999000999	-0.00018903203777426825	0.013144275111754627	0.00994087144301914	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C2C(=C1)C(=CS2(=O)=O)Br
CATSPER2	KLMHBVQKLVFBDH-UHFFFAOYSA-N	5.08	1317	1	1	0.040451422	1	1000	0.001998001998001998	-4.843384231207892e-07	0.013757800207139476	0.012845776802024256	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CN1CCN(CC1)c2cc(ncn2)n3nc(cc3c4ccccc4)C(F)(F)F
CATSPER2	UJFQDANWZPHKTG-UHFFFAOYSA-N	71.43	3300	1	1	0.040085677	2	1000	0.002997002997002997	-1.9864519988004757e-05	0.013114720460819594	0.0110549477695292	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C2C(=C1)C=CC=C2CC3=NC(=NO3)C4=CC=CC=N4
CATSPER2	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.03960326	3	1000	0.003996003996003996	-0.00035716157918704993	0.013129049720993055	0.011259721912033838	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
CATSPER2	QWGDMFLQWFTERH-UHFFFAOYSA-N	43.43	3134	1	1	0.038622867	3	1000	0.003996003996003996	9.997953603306087e-05	0.01322543993317194	0.013303886299413703	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
CATSPER2	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.038476557	1	1000	0.001998001998001998	-0.0002540392875453108	0.013293333511325575	0.013291208018434197	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
CATSPER2	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.038018618	3	1000	0.003996003996003996	0.00010018824539292836	0.01313653911224048	0.013757165271625627	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
CATSPER2	BJVAIYSAEBZQNS-UHFFFAOYSA-N	36.4	2298	1	1	0.037955057	2	1000	0.002997002997002997	-0.000591221522194246	0.01330325189505969	0.01356536595236879	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	COC1=C(C=C2C(=C1)C=CN=C2CC3=CC(=C(C=C3NC(=O)CSC4=C(C=CC=N4)C(=O)O)OC)OC)OC
