target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
FFAR1	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.048286173	1	1000	0.001998001998001998	-0.00025069409244497364	0.013829743876252848	0.006210178982406167	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
FFAR1	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.0442625	0	1000	0.000999000999000999	-0.00011598813126329333	0.013085808504291058	0.007223563572801961	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
FFAR1	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.04083597	1	1000	0.001998001998001998	0.0001106293289142286	0.012994792204447473	0.010034443986208785	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
FFAR1	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.03994934	1	1000	0.001998001998001998	-0.0001783760841954063	0.013330461536815625	0.011750190451828235	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
FFAR1	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.038273368	3	1000	0.003996003996003996	0.0001925366126888548	0.013638144260907129	0.015511159226081261	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
FFAR1	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.0380644	2	1000	0.002997002997002997	1.6375093673559605e-07	0.013744575526315271	0.015968329330527276	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
FFAR1	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.038016364	0	1000	0.000999000999000999	0.00015083987906268703	0.013083622564835026	0.01362410058184238	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
FFAR1	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.03761927	7	1000	0.007992007992007992	-5.235524352428911e-05	0.013034188501530137	0.01369194471803914	0.6803575843657881	1.0	0.8036385820317292	1.0	0.6803575843657881	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
FFAR1	JDSBUPUXYPOCOV-UHFFFAOYSA-N	162	2702	1	1	0.03749786	4	1000	0.004995004995004995	-0.00032780234849269616	0.013534553760741821	0.015461537673120418	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC2=CC=CC=C2C(=C1)NCCN
FFAR1	JOZKFWLRHCDGJA-LLVKDONJSA-N	100	2921	1	1	0.03734056	2	1000	0.002997002997002997	-0.00017012965679577975	0.012924768233642829	0.013483962546940287	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC(CCC=C(C)C)CCOC(=O)C
FFAR1	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.036922257	3	1000	0.003996003996003996	0.00038299582404579266	0.013258257329162422	0.016243663327750624	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
FFAR1	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.036748227	5	1000	0.005994005994005994	0.006484630538474448	0.011147302857485983	0.01711492429960504	0.6414889969623448	1.0	0.8036385820317292	1.0	0.6414889969623448	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
FFAR1	QGONKIQYZUZDII-UHFFFAOYSA-N	146.67	2701	1	1	0.036620874	0	1000	0.000999000999000999	-0.00011254939034915878	0.013182314319367129	0.015623302134049166	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1COCCN1C2=C(C=CC(=C2)Cl)N
FFAR1	NBLWZWQTORFRDM-UHFFFAOYSA-N	12.99	3270	1	1	0.03633921	2	1000	0.002997002997002997	-0.0003361132111804181	0.013153755251510923	0.01559087091891631	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCCSC1=CC=CC=C1C(=O)NCC2=CC=CO2
FFAR1	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.036287796	3	1000	0.003996003996003996	-0.0002845477260016196	0.013091644537799286	0.015484849057903816	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
