target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
GABRA1	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.045272164	2	1000	0.002997002997002997	-0.0003599243162143466	0.013886215411495964	0.008262704313213853	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
GABRA1	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.043774392	0	1000	0.000999000999000999	-0.0001425644370929149	0.013008627829695136	0.00736672688000084	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
GABRA1	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.04219712	3	1000	0.003996003996003996	0.0006605341419767683	0.013953894773594173	0.01226326102355968	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
GABRA1	JOZKFWLRHCDGJA-LLVKDONJSA-N	100	2921	1	1	0.040189046	1	1000	0.001998001998001998	-0.00022272596104266996	0.01283404786608959	0.009846449320627393	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC(CCC=C(C)C)CCOC(=O)C
GABRA1	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.039454702	2	1000	0.002997002997002997	-0.0004270927923577119	0.012961359142151001	0.010791341233663654	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
GABRA1	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.039027542	1	1000	0.001998001998001998	0.006436309606075156	0.011179506644584596	0.013261938689319464	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
GABRA1	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.038604293	3	1000	0.003996003996003996	-3.400588220847567e-05	0.013076125623248391	0.012609228168507292	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
GABRA1	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.038363677	3	1000	0.003996003996003996	-0.00043538865908749355	0.013049321224108993	0.01231713191191297	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
GABRA1	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.038178165	1	1000	0.001998001998001998	-0.0002810250830634686	0.013360637300078549	0.013897010156643796	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
GABRA1	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.038165193	1	1000	0.001998001998001998	5.8072775296068355e-05	0.013623247575769472	0.015413111000833202	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
