target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
HCAR2	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.04871565	1	1000	0.001998001998001998	-0.00036980068545005906	0.013828408812172592	0.005900464057814414	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
HCAR2	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.04538001	0	1000	0.000999000999000999	-4.002208549900388e-05	0.013096455663764597	0.006548423104906886	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
HCAR2	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.041692402	3	1000	0.003996003996003996	0.0007480171002171119	0.013952710002913876	0.012940696851675648	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
HCAR2	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.041339353	1	1000	0.001998001998001998	0.0001416845877720334	0.013580751094391061	0.011406130056922925	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
HCAR2	JOZKFWLRHCDGJA-LLVKDONJSA-N	100	2921	1	1	0.040928714	1	1000	0.001998001998001998	-0.00010159836811635614	0.012892645217570506	0.009432326745121733	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC(CCC=C(C)C)CCOC(=O)C
HCAR2	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.040197	0	1000	0.000999000999000999	0.00020947960644116393	0.013113752952735088	0.01117935353685251	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
HCAR2	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.039858844	0	1000	0.000999000999000999	-0.00015691549505754664	0.013184303613714497	0.01138328492438856	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
HCAR2	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.039464455	3	1000	0.003996003996003996	-0.00039227965111604134	0.013055295459519108	0.01112763350301238	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
HCAR2	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.03944805	4	1000	0.004995004995004995	3.809854256542167e-05	0.01301078050346301	0.011471932534060869	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
HCAR2	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.039289065	3	1000	0.003996003996003996	0.0006059435618226416	0.0136888667149827	0.014860822458997003	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
HCAR2	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.039117318	1	1000	0.001998001998001998	0.006478925862824326	0.011188296935850477	0.01322945985405899	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
HCAR2	YWCSDTAKJJLSPO-UHFFFAOYSA-N	118.86	2688	1	1	0.038966738	2	1000	0.002997002997002997	-0.00026122740490245634	0.012978665794754695	0.01156780654118661	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)CN2C3=C(C(=O)NC2=O)NC=N3
HCAR2	QGONKIQYZUZDII-UHFFFAOYSA-N	146.67	2701	1	1	0.038846556	0	1000	0.000999000999000999	-5.0407136288413315e-05	0.013271589004000642	0.013001300548450057	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1COCCN1C2=C(C=CC(=C2)Cl)N
HCAR2	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.038611535	4	1000	0.004995004995004995	2.479406823294994e-05	0.01372548614972644	0.015138835816612461	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
HCAR2	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.038455535	0	1000	0.000999000999000999	0.0002036953442166123	0.012988227012455158	0.012766996667073927	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
