target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
NPSR1	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.04947725	0	1000	0.000999000999000999	-0.0003892212320715771	0.013876657681890567	0.005578034456885095	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
NPSR1	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.043533724	0	1000	0.000999000999000999	-0.0001176136673975634	0.01314414585991137	0.007903163841868177	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
NPSR1	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.042828884	2	1000	0.002997002997002997	0.0006959038825079915	0.01400970717323656	0.01179241788220109	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
NPSR1	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.04258979	1	1000	0.001998001998001998	0.00646534817744282	0.011188890808552608	0.008892759677834206	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
NPSR1	JOZKFWLRHCDGJA-LLVKDONJSA-N	100	2921	1	1	0.042390045	1	1000	0.001998001998001998	-0.0001529921344106242	0.012883733668941338	0.00809627282264136	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC(CCC=C(C)C)CCOC(=O)C
NPSR1	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.040070686	0	1000	0.000999000999000999	0.00017757688452275033	0.012986416847287864	0.010861299882079067	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
NPSR1	BWCBGYFBSVPRLL-UHFFFAOYSA-N	15.4	2554	1	1	0.039758895	2	1000	0.002997002997002997	-0.00018840922915671854	0.013141559717059784	0.011315798402883548	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C2C(=C1)C(=CS2(=O)=O)Br
NPSR1	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.03962897	2	1000	0.002997002997002997	0.00012843637074547588	0.013592922557663678	0.013420037792282291	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
NPSR1	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.03957904	2	1000	0.002997002997002997	-0.0003075021372465017	0.01319178922968955	0.011551701383037516	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
NPSR1	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.039325476	2	1000	0.002997002997002997	0.0005944465880602366	0.01372419414807466	0.014932564653215574	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
