target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR11L1	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.04716614	1	1000	0.001998001998001998	-0.0002880870486224012	0.013948967733128904	0.007125973885446668	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR11L1	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.041944176	2	1000	0.002997002997002997	0.0007200437032515765	0.013991954688654443	0.012748175889600866	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR11L1	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.04127162	1	1000	0.001998001998001998	0.00022555287102903775	0.013579024657273465	0.011563984357569224	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
OR11L1	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.039083857	2	1000	0.002997002997002997	0.0064697407494390975	0.011259843105756742	0.01358282402862565	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
OR11L1	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.039077736	2	1000	0.002997002997002997	0.0005344410297939248	0.013716213897656421	0.015163268375120609	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
OR11L1	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.038390014	4	1000	0.004995004995004995	0.008088308286658503	0.010280965848876777	0.012730547650705692	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
OR11L1	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03824541	0	1000	0.000999000999000999	-5.783308912668872e-05	0.012981628845389406	0.0126785270516806	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR11L1	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.038213253	2	1000	0.002997002997002997	5.285822182850097e-05	0.01300544276678324	0.012946053328054319	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
OR11L1	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.037678648	3	1000	0.003996003996003996	-0.0003481463601019641	0.01308097442326646	0.01340180324447815	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
OR11L1	UJFQDANWZPHKTG-UHFFFAOYSA-N	71.43	3300	1	1	0.037419487	3	1000	0.003996003996003996	-3.0140521789235208e-05	0.012975464594670269	0.013762382875227686	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C2C(=C1)C=CC=C2CC3=NC(=NO3)C4=CC=CC=N4
OR11L1	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.037416883	1	1000	0.001998001998001998	0.00032598770600270657	0.013162935707418237	0.015013950639316542	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
