target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR4F5	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.049195435	1	1000	0.001998001998001998	-0.0003162911203653493	0.013826344006135258	0.005668507789925226	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR4F5	QGONKIQYZUZDII-UHFFFAOYSA-N	146.67	2701	1	1	0.03976471	0	1000	0.000999000999000999	-0.0001968109373228799	0.013073107500207206	0.011073045414436877	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1COCCN1C2=C(C=CC(=C2)Cl)N
OR4F5	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.039420668	3	1000	0.003996003996003996	0.0006805082785499508	0.014010716147863861	0.016057210626220897	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR4F5	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.039238635	4	1000	0.004995004995004995	-0.00018884924478106767	0.012810492925438767	0.01078070693282851	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
OR4F5	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.03868561	3	1000	0.003996003996003996	5.924623210376012e-05	0.013839459988256976	0.015534837093128084	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
OR4F5	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.038124215	3	1000	0.003996003996003996	0.006526948727258969	0.011261141620897643	0.015244279444506348	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
OR4F5	UJFQDANWZPHKTG-UHFFFAOYSA-N	71.43	3300	1	1	0.03767108	4	1000	0.004995004995004995	-5.9754261718353516e-05	0.013016118211234303	0.01354343932571389	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C2C(=C1)C=CC=C2CC3=NC(=NO3)C4=CC=CC=N4
OR4F5	JOZKFWLRHCDGJA-LLVKDONJSA-N	100	2921	1	1	0.037438203	1	1000	0.001998001998001998	-0.00011139677609025966	0.012831278112389415	0.013074943813021989	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC(CCC=C(C)C)CCOC(=O)C
OR4F5	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.037350964	0	1000	0.000999000999000999	-0.00014029601573201943	0.013033028012280488	0.013930854776301183	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR4F5	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.03680095	1	1000	0.001998001998001998	0.0002564008390811523	0.013016093586093833	0.015209852597530937	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
