target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR56A5	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.046715993	1	1000	0.001998001998001998	-0.0002723682479245326	0.013832821870527165	0.007172695469547463	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR56A5	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.041795537	0	1000	0.000999000999000999	-9.984611677498379e-05	0.013080904182469556	0.009190675248485713	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR56A5	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.041082267	1	1000	0.001998001998001998	0.006495201187906786	0.011166187442300047	0.010512709670320697	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
OR56A5	QGONKIQYZUZDII-UHFFFAOYSA-N	146.67	2701	1	1	0.04061444	0	1000	0.000999000999000999	3.711248799822897e-05	0.013193504194361463	0.010810944075572038	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1COCCN1C2=C(C=CC(=C2)Cl)N
OR56A5	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.040160593	4	1000	0.004995004995004995	0.0006576431174871686	0.014112058225498757	0.015373517703926032	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR56A5	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.04013623	0	1000	0.000999000999000999	-0.00014806380126356088	0.013309231311390295	0.011504591700357336	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
OR56A5	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.039580002	2	1000	0.002997002997002997	0.0001382480535180548	0.012991424864254598	0.011370551537169149	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
OR56A5	JOZKFWLRHCDGJA-LLVKDONJSA-N	100	2921	1	1	0.0390524	1	1000	0.001998001998001998	-0.0001045154035079463	0.012952406657098042	0.011558336543436187	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC(CCC=C(C)C)CCOC(=O)C
OR56A5	KVFLVVCMQSAHOU-UHFFFAOYSA-N	200	2675	1	1	0.038347155	0	1000	0.000999000999000999	9.299111844666185e-05	0.012827895117024458	0.012179050959873594	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CN1C(=O)C=C(N=C1SCC2=CC=CC=C2)N
OR56A5	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.038217783	2	1000	0.002997002997002997	-0.00039115812670024753	0.013141212118476162	0.012883222809789485	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
OR56A5	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.03821269	2	1000	0.002997002997002997	-3.4712454180407806e-08	0.013799990109909677	0.01597565914350374	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
OR56A5	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.037870888	3	1000	0.003996003996003996	0.0005343395957297616	0.013799143146607823	0.017315541616257146	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
OR56A5	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.0377521	5	1000	0.005994005994005994	-0.00013150533496946083	0.012938340042379213	0.013048320448393547	0.6414889969623448	1.0	0.8036385820317292	1.0	0.6414889969623448	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
OR56A5	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.037707392	9	1000	0.00999000999000999	0.008169507281305414	0.010357829847738023	0.01437947628532732	0.6995901532953852	1.0	0.8036385820317292	1.0	0.6995901532953852	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
OR56A5	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.03737436	1	1000	0.001998001998001998	0.00018602228777285745	0.01301403708024224	0.014273468180281745	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
