target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR5AC2	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.04974099	1	1000	0.001998001998001998	-0.00024229607633606065	0.013820741266032641	0.005416395474245217	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR5AC2	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.039955486	2	1000	0.002997002997002997	0.0007804655004133565	0.01401445921901415	0.015450108257499817	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR5AC2	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.039426483	2	1000	0.002997002997002997	0.006471152567111858	0.011240875215481689	0.012986463129132653	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
OR5AC2	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.038814273	3	1000	0.003996003996003996	0.008130839063743216	0.010308225670211293	0.012264901016141305	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
OR5AC2	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.03853651	4	1000	0.004995004995004995	-7.54055993484144e-05	0.012918031133121614	0.012072607409063019	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
OR5AC2	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.038356822	3	1000	0.003996003996003996	-0.0003125184746513696	0.013049923733281735	0.012476365846640913	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
OR5AC2	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.03820375	4	1000	0.004995004995004995	1.820173963551497e-05	0.013862596979210863	0.01627238343294224	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
OR5AC2	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.03744044	2	1000	0.002997002997002997	0.0002066827079079303	0.01360664360926661	0.016652078368988854	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
OR5AC2	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.037408475	3	1000	0.003996003996003996	0.0005431309716004761	0.013690436972827144	0.017602618828565952	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
OR5AC2	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.036942393	0	1000	0.000999000999000999	-3.895979211483791e-05	0.01304702074156211	0.014699288998202387	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR5AC2	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.03676085	6	1000	0.006993006993006993	6.0949430613504776e-05	0.013083662417634126	0.015260770508636279	0.6607582693194471	1.0	0.8036385820317292	1.0	0.6607582693194471	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
OR5AC2	QWGDMFLQWFTERH-UHFFFAOYSA-N	43.43	3134	1	1	0.036739845	4	1000	0.004995004995004995	0.00020209920678826166	0.013198958785159724	0.015992144140670517	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
OR5AC2	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.036704082	2	1000	0.002997002997002997	0.0003867409948470595	0.013128708445810941	0.016032387099576773	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
OR5AC2	QGONKIQYZUZDII-UHFFFAOYSA-N	146.67	2701	1	1	0.036497768	0	1000	0.000999000999000999	-4.749842238379642e-05	0.01315716781370985	0.015802740740476162	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1COCCN1C2=C(C=CC(=C2)Cl)N
OR5AC2	NBLWZWQTORFRDM-UHFFFAOYSA-N	12.99	3270	1	1	0.036484666	2	1000	0.002997002997002997	-0.0003468807295292322	0.013196811443940859	0.015536580080075524	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCCSC1=CC=CC=C1C(=O)NCC2=CC=CO2
