target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR6T1	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.0482945	1	1000	0.001998001998001998	-0.00024627296556059265	0.013960072820238211	0.006473528964118347	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR6T1	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.040162046	1	1000	0.001998001998001998	0.00020532245554386464	0.013684343711928651	0.01318410346219312	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
OR6T1	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.03955913	2	1000	0.002997002997002997	6.435536339267855e-05	0.012958673209879125	0.01120123025701969	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
OR6T1	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.038371325	7	1000	0.007992007992007992	0.000689734415647763	0.013945673709327037	0.017396914642363925	0.6803575843657881	1.0	0.8036385820317292	1.0	0.6803575843657881	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR6T1	NKPCVLBBSSICKJ-UHFFFAOYSA-N	8.07	211	1	1	0.03833126	0	1000	0.000999000999000999	-0.00012060436876527092	0.013586265034036019	0.014779335899698709	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1CCC(CC1)C2=CC3=C(C=C2)N4CCN(C5C4=C3CCC5)CCBr
OR6T1	UJFQDANWZPHKTG-UHFFFAOYSA-N	71.43	3300	1	1	0.038007822	3	1000	0.003996003996003996	-3.088084517730749e-05	0.013099916067796305	0.013458163886296726	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C2C(=C1)C=CC=C2CC3=NC(=NO3)C4=CC=CC=N4
OR6T1	RXTJOCNYCYFDSQ-UHFFFAOYSA-N	2.07	1040	1	1	0.037489306	4	1000	0.004995004995004995	0.0005740909451801599	0.013493543312108825	0.016666290785914306	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC[N+]1=C(N(C2=C1C=C(C=C2)Cl)C3=CC=CC=C3)C=CC=C4C(C5=CC=CC=C5N4C)(C)C
OR6T1	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.03690292	0	1000	0.000999000999000999	-8.906490328797645e-05	0.013067715494751957	0.014768224433264532	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR6T1	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.03680995	4	1000	0.004995004995004995	0.006557788752490524	0.011203623404097739	0.017437100585852017	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
OR6T1	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.03641781	5	1000	0.005994005994005994	2.4502697581510802e-05	0.013781311939332838	0.018805332471259484	0.6414889969623448	1.0	0.8036385820317292	1.0	0.6414889969623448	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
