target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR8K3	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.049837083	1	1000	0.001998001998001998	-0.00024433019996411077	0.013900371075180171	0.005511849107135758	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR8K3	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.04115598	1	1000	0.001998001998001998	0.0064595109302445055	0.011221484949496593	0.010586928759886982	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
OR8K3	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.04058527	2	1000	0.002997002997002997	0.0007423067500913021	0.013991966860480725	0.014456299646442461	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR8K3	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.039514188	2	1000	0.002997002997002997	-0.00027453451603923895	0.013051058394243975	0.011187686254262474	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
OR8K3	JOZKFWLRHCDGJA-LLVKDONJSA-N	100	2921	1	1	0.038397968	1	1000	0.001998001998001998	-0.0002146637273972374	0.012871711077428622	0.011907351319970672	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC(CCC=C(C)C)CCOC(=O)C
OR8K3	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.038161736	5	1000	0.005994005994005994	-0.00012815112904900161	0.01288676195492465	0.012348660248542087	0.6414889969623448	1.0	0.8036385820317292	1.0	0.6414889969623448	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
OR8K3	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.0376963	1	1000	0.001998001998001998	0.0003231008770326298	0.013203174166315758	0.014771417662704178	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
OR8K3	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.037593313	5	1000	0.005994005994005994	0.008209146608938681	0.010276511321662839	0.014240853017678745	0.6414889969623448	1.0	0.8036385820317292	1.0	0.6414889969623448	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
OR8K3	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.037150074	3	1000	0.003996003996003996	0.0005521917234327702	0.013674555742988712	0.017974133432362316	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
OR8K3	QGONKIQYZUZDII-UHFFFAOYSA-N	146.67	2701	1	1	0.037116915	0	1000	0.000999000999000999	-0.00010541615417059802	0.01310947766998372	0.01460828810551107	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1COCCN1C2=C(C=CC(=C2)Cl)N
OR8K3	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.03705833	5	1000	0.005994005994005994	-1.688472241312411e-08	0.01386739925873474	0.018066040879717526	0.6414889969623448	1.0	0.8036385820317292	1.0	0.6414889969623448	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
OR8K3	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.036347125	0	1000	0.000999000999000999	-4.621195211802842e-05	0.013038075966489758	0.015529285765381595	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
