target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
OR9I1	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.045343753	2	1000	0.002997002997002997	-0.0002401950171192766	0.013944528637139395	0.008446161421701404	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
OR9I1	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.04128292	2	1000	0.002997002997002997	0.0007300789748478564	0.013930940914857286	0.013334364139156119	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
OR9I1	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.039706826	2	1000	0.002997002997002997	5.723444336399552e-05	0.013034312825615997	0.011284516725028615	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
OR9I1	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.038999505	0	1000	0.000999000999000999	-7.561475405418605e-05	0.01307262575881325	0.012071288087234455	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
OR9I1	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.038474992	2	1000	0.002997002997002997	0.0064816216905146575	0.011261777675650482	0.014579750557333071	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
OR9I1	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.038137056	1	1000	0.001998001998001998	0.00020179176076089787	0.013583765137569901	0.015502048310628735	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
OR9I1	DXDRHHKMWQZJHT-FPYGCLRLSA-N	100	2943	1	1	0.03776016	3	1000	0.003996003996003996	0.0005510650310416168	0.013669614065299183	0.01696004503424564	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
OR9I1	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.037699454	4	1000	0.004995004995004995	0.00808175259714244	0.010332690449412868	0.014113483607297361	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
OR9I1	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.037480142	3	1000	0.003996003996003996	-0.00033127478980964043	0.013035536170199825	0.013511327208445278	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
OR9I1	BCQLLAQLHGKDGV-UHFFFAOYSA-N	185.94	2747	1	1	0.036727145	6	1000	0.006993006993006993	-0.00010462485072480376	0.012936728158741301	0.014465317423001611	0.6607582693194471	1.0	0.8036385820317292	1.0	0.6607582693194471	BH	3818750	C1=CN=CC=C1CN2C(=CC(=O)NC2=O)N
OR9I1	QWGDMFLQWFTERH-UHFFFAOYSA-N	43.43	3134	1	1	0.036576025	3	1000	0.003996003996003996	0.00017310959230326263	0.013102026566125163	0.015786161304589763	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
OR9I1	UJFQDANWZPHKTG-UHFFFAOYSA-N	71.43	3300	1	1	0.03653781	4	1000	0.004995004995004995	-6.146444698242703e-05	0.01305765675239746	0.015301998759287505	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C2C(=C1)C=CC=C2CC3=NC(=NO3)C4=CC=CC=N4
OR9I1	SFSMIGOFCANVPB-UHFFFAOYSA-N	49.47	3554	1	1	0.036474407	1	1000	0.001998001998001998	0.0002228134374868205	0.013170924104619777	0.01631753575541217	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC(=NC=C1)SCC2=CC(=O)N3C(=N2)C(=C(N3)C)C4=CC=C(C=C4)F
OR9I1	NKPCVLBBSSICKJ-UHFFFAOYSA-N	8.07	211	1	1	0.036282543	3	1000	0.003996003996003996	-0.00016380170972377073	0.013611408223872312	0.017944841023333935	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1CCC(CC1)C2=CC3=C(C=C2)N4CCN(C5C4=C3CCC5)CCBr
OR9I1	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.03620836	5	1000	0.005994005994005994	7.370841365627711e-06	0.013811166715831295	0.019280216386738158	0.6414889969623448	1.0	0.8036385820317292	1.0	0.6414889969623448	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
