target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
S1PR4	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.0471746	1	1000	0.001998001998001998	-0.0003128160949705716	0.013913250391733472	0.007025430610432037	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
S1PR4	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.04419133	0	1000	0.000999000999000999	-0.00011343000611304887	0.013152801998149881	0.007437867332112158	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
S1PR4	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.040752273	0	1000	0.000999000999000999	0.00015582483469734143	0.013061555565625759	0.010371432711427153	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
S1PR4	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.040095497	1	1000	0.001998001998001998	-0.0002472726869855251	0.013335795155887587	0.011528737274906442	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
S1PR4	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.039896984	1	1000	0.001998001998001998	7.045250773285261e-05	0.013579316348781022	0.01296759205512299	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
S1PR4	KLMHBVQKLVFBDH-UHFFFAOYSA-N	5.08	1317	1	1	0.038938675	0	1000	0.000999000999000999	-0.00011527828869657242	0.013628685966018073	0.01412854344810599	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CN1CCN(CC1)c2cc(ncn2)n3nc(cc3c4ccccc4)C(F)(F)F
S1PR4	JOZKFWLRHCDGJA-LLVKDONJSA-N	100	2921	1	1	0.038529724	2	1000	0.002997002997002997	-0.00020097657979204086	0.012971549355502009	0.012121565669002354	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC(CCC=C(C)C)CCOC(=O)C
S1PR4	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.03822527	1	1000	0.001998001998001998	0.00020137964310015376	0.013139360931461142	0.01362799243185342	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
S1PR4	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.037211865	7	1000	0.007992007992007992	0.0006370793936066548	0.014000957786898856	0.019497729347701	0.6803575843657881	1.0	0.8036385820317292	1.0	0.6803575843657881	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
S1PR4	CAENRFGKBBAPGF-UHFFFAOYSA-N	188.97	2704	1	1	0.037111454	3	1000	0.003996003996003996	-8.28456245653797e-06	0.013778745435841467	0.017575682737369314	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCCN1C(=O)C(C2=C1C(=CC=C2)C)NC(=O)C
