target_id	inchikey	dose	source_condition_index	n_conditions_tested	n_unique_doses_tested	spearman_rho	null_exceedances	n_perm	emp_p	null_mean	null_sd	p_tail_gumbel	q_bh	q_by	q_tail_bh	q_tail_by	q	fdr_method	fdr_family_size	smiles
TAS2R7	SQFNCEKTEKNPCN-UHFFFAOYSA-N	12.2	1134	1	1	0.04756128	0	1000	0.000999000999000999	-0.0002988236256533128	0.013850349757566377	0.006654754887703063	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC(=CC=C1C(=O)NC(C(Cl)(Cl)Cl)NC2=CC=C(C=C2)Br)F
TAS2R7	YNQGMOKEPYEVRP-UHFFFAOYSA-N	200	2751	1	1	0.042594187	0	1000	0.000999000999000999	-0.0001225311095258803	0.012976255229375875	0.00820202108783108	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)OC2=CC=C(C=C2)NCN3C(=O)C4=C(C3=O)C=C(C=C4)Br
TAS2R7	UJFQDANWZPHKTG-UHFFFAOYSA-N	71.43	3300	1	1	0.0397895	3	1000	0.003996003996003996	-0.00011211770115551189	0.012963039349330567	0.01077579101153936	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C2C(=C1)C=CC=C2CC3=NC(=NO3)C4=CC=CC=N4
TAS2R7	QGONKIQYZUZDII-UHFFFAOYSA-N	146.67	2701	1	1	0.03952248	0	1000	0.000999000999000999	-0.00010151566378999632	0.013135012184709355	0.011654060061762839	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1COCCN1C2=C(C=CC(=C2)Cl)N
TAS2R7	FSQXVCNWJMITHZ-ITBDYVSPSA-N	8.54	2941	1	1	0.039387904	4	1000	0.004995004995004995	0.000671816702826618	0.013987828155259516	0.01600004362633578	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1CCC2(C(C3(CCC4C(C3O2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)O)OC8C(C(C(CO8)O)O)OC9C(C(C(C(O9)CO)O)O)O)O)O)O)C)C)C)NC1
TAS2R7	BXNJHAXVSOCGBA-UHFFFAOYSA-N	47.85	2897	2	2	0.039057642	1	1000	0.001998001998001998	0.0064200311657950804	0.011171026224592623	0.013154831996829763	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=NC=CC2=C1NC3=C2C=CC(=C3)OC
TAS2R7	NUVBSKCKDOMJSU-UHFFFAOYSA-N	405.7	2762	1	1	0.03897635	1	1000	0.001998001998001998	0.00011733816617152116	0.013021539775939497	0.012146453603978147	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCOC(=O)C1=CC=C(C=C1)O
TAS2R7	JOZKFWLRHCDGJA-LLVKDONJSA-N	100	2921	1	1	0.038764026	3	1000	0.003996003996003996	-0.0001271460507905431	0.01287502382208909	0.01159480111064426	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC(CCC=C(C)C)CCOC(=O)C
TAS2R7	MYCQVAUSXCWYKG-UHFFFAOYSA-N	72.31	2699	1	1	0.038659602	0	1000	0.000999000999000999	0.00016493033769256728	0.013089706058240287	0.012836832132564147	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C(C=C1)CCN2C(=CC(=O)NC2=O)N
TAS2R7	XDEIKTUBWBCMDT-UHFFFAOYSA-N	71.1	3101	1	1	0.038181696	4	1000	0.004995004995004995	-0.00039994164794006793	0.013034499947578639	0.01252770706711348	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	COC1=CC2=C(C=C1)NC(=O)C(=C2O)CC3=CC=CC=C3
TAS2R7	GEFLGAHYWXRJBV-UVTDQMKNSA-N	200	2682	1	1	0.037910856	1	1000	0.001998001998001998	-0.0002406498866739639	0.01322276760589972	0.01377814606371175	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CC1=CC=CC(=C1)C=C2C(C3CCN2CC3)O
TAS2R7	GYFLGFTWDXAQIG-UHFFFAOYSA-N	530.54	195	2	2	0.037637323	6	1000	0.006993006993006993	0.008273128490825456	0.010296436776347697	0.014377009838885901	0.6607582693194471	1.0	0.8036385820317292	1.0	0.6607582693194471	BH	3818750	CC1=CC(=C(C=C1)N2C(=O)C3C4C=CC(C3C2=O)(O4)CO)[N+](=O)[O-]
TAS2R7	BWCBGYFBSVPRLL-UHFFFAOYSA-N	15.4	2554	1	1	0.037370633	2	1000	0.002997002997002997	-6.625201124461455e-05	0.013216097122518292	0.01473289710094039	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	C1=CC=C2C(=C1)C(=CS2(=O)=O)Br
TAS2R7	LJOQGZACKSYWCH-NBGVHYBESA-N	100	3024	1	1	0.037271198	3	1000	0.003996003996003996	0.00011689699693079092	0.01361228822455266	0.016800383246921236	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
TAS2R7	KVFLVVCMQSAHOU-UHFFFAOYSA-N	200	2675	1	1	0.036777966	1	1000	0.001998001998001998	8.322381754032904e-05	0.012828680637033945	0.014222453625130305	0.6373095664776253	1.0	0.8036385820317292	1.0	0.6373095664776253	BH	3818750	CN1C(=O)C=C(N=C1SCC2=CC=CC=C2)N
