gene	label	rr_human_only	rr_yeast_only	rr_comparator_best_single	rr_joint_nested
AHR	GO:0012501	0.1	0.06666666666666667	0.1	0.06666666666666667
ARID1A	GO:0006325	1.0	0.5	1.0	0.5
BAK1	GO:0012501	0.3333333333333333	0.08333333333333333	0.3333333333333333	0.125
BCL2L11	GO:0012501	0.25	0.0625	0.25	0.08333333333333333
BCORL1	GO:0006325	0.09090909090909091	0.16666666666666666	0.09090909090909091	0.25
BPGM	GO:0005975	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0
CBFA2T3	GO:0006355	0.3333333333333333	1.0	0.3333333333333333	1.0
CBL	GO:0030163	0.2	0.1111111111111111	0.2	0.25
CDKN1B	GO:0012501	0.16666666666666666	0.058823529411764705	0.16666666666666666	0.07692307692307693
CEBPA	GO:0006351	0.125	0.25	0.125	0.25
CEBPB	GO:0012501	0.5	0.07142857142857142	0.5	0.125
CEBPE	GO:0030154	0.2	0.05263157894736842	0.2	0.07692307692307693
CITED1	GO:0006913	0.05263157894736842	0.25	0.05263157894736842	0.1111111111111111
CLDN6	GO:0007155	0.05263157894736842	0.058823529411764705	0.05263157894736842	0.05263157894736842
CNN1	GO:0007010	0.0625	0.08333333333333333	0.0625	0.09090909090909091
COL2A1	GO:0030154	0.16666666666666666	0.05263157894736842	0.16666666666666666	0.06666666666666667
CSRNP1	GO:0012501	0.125	0.05555555555555555	0.125	0.058823529411764705
DLX2	GO:0030154	0.3333333333333333	0.05263157894736842	0.3333333333333333	0.08333333333333333
DUSP9	GO:0023052	0.08333333333333333	0.25	0.08333333333333333	0.5
EGR1	GO:0006355	0.3333333333333333	0.5	0.3333333333333333	1.0
ETS2	GO:0006355	1.0	1.0	1.0	1.0
FEV	GO:0030154	0.25	0.05263157894736842	0.25	0.07692307692307693
FOSB	GO:0006355	0.3333333333333333	1.0	0.3333333333333333	1.0
FOXA1	GO:0006325	0.25	0.5	0.25	0.5
FOXA3	GO:0006355	0.3333333333333333	1.0	0.3333333333333333	1.0
FOXF1	GO:0006355	0.3333333333333333	1.0	0.3333333333333333	1.0
FOXL2	GO:0012501	0.5	0.1	0.5	0.125
FOXO4	GO:0030154	0.16666666666666666	0.05263157894736842	0.16666666666666666	0.0625
GLB1L2	GO:0005975	1.0	0.16666666666666666	1.0	1.0
HES7	GO:0006355	1.0	1.0	1.0	1.0
HK2	GO:0007005	0.05263157894736842	0.08333333333333333	0.05263157894736842	0.05555555555555555
HNF4A	GO:0042060	0.0	0.0	0.0	0.0
HOXA13	GO:0048856	0.0	0.0	0.0	0.0
HOXB9	GO:0006355	1.0	0.5	1.0	1.0
HOXC13	GO:0006355	1.0	1.0	1.0	1.0
IKZF3	GO:0006355	1.0	0.25	1.0	1.0
IRF1	GO:0012501	0.2	0.06666666666666667	0.2	0.1
ISL2	GO:0030154	0.3333333333333333	0.05263157894736842	0.3333333333333333	0.08333333333333333
JUN	GO:0006355	1.0	1.0	1.0	1.0
KIF18B	GO:0000278	0.1	0.14285714285714285	0.1	0.09090909090909091
KIF2C	GO:0140014	0.05263157894736842	1.0	0.05263157894736842	0.125
KLF1	GO:0030163	0.1	0.16666666666666666	0.1	0.1
KMT2A	GO:0065003	0.09090909090909091	0.07142857142857142	0.09090909090909091	0.07692307692307693
LHX1	GO:0006351	0.3333333333333333	0.2	0.3333333333333333	0.2
LYL1	GO:0006355	1.0	0.5	1.0	1.0
MAP2K3	GO:0006355	0.07692307692307693	1.0	0.07692307692307693	0.5
MAP4K3	GO:0023052	1.0	0.2	1.0	1.0
MAP4K5	GO:0023052	1.0	0.25	1.0	0.5
MAP7D1	GO:0007010	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333
MEIS1	GO:0030154	1.0	0.05263157894736842	1.0	0.125
MIDN	GO:0030163	0.3333333333333333	0.5	0.3333333333333333	0.5
NCL	GO:0016071	0.05263157894736842	0.16666666666666666	0.05263157894736842	0.25
NIT1	GO:0006575	0.05263157894736842	1.0	0.05263157894736842	0.2
OSR2	GO:0030154	1.0	0.05263157894736842	1.0	0.1
PLK4	GO:0007010	0.07692307692307693	1.0	0.07692307692307693	0.16666666666666666
POU3F2	GO:0030154	0.5	0.05263157894736842	0.5	0.125
PRDM1	GO:0006355	0.5	1.0	0.5	1.0
