rank	yeast_gene	ensemble_score
1	YMR133W	0.990250
2	YHR200W	0.979329
3	YGL227W	0.970359
4	YIR033W	0.969579
5	YKL114C	0.968799
6	YHR187W	0.966069
7	YKL222C	0.964509
8	YIR013C	0.962168
9	YDR147W	0.956318
10	YDL076C	0.949688
11	YDL113C	0.941108
12	YNL241C	0.936427
13	YKL048C	0.936427
14	YMR039C	0.935647
15	YOL108C	0.935257
16	YBR215W	0.934477
17	YPR189W	0.933307
18	YLR095C	0.933307
19	YDL149W	0.927067
20	YNL147W	0.927067
21	YGL070C	0.927067
22	YGR104C	0.923167
23	YLR398C	0.922387
24	YKL034W	0.921217
25	YDR419W	0.920047
26	YMR044W	0.918877
27	YDR137W	0.918487
28	YBR058C	0.917707
29	YNL223W	0.916147
30	YMR234W	0.915757
31	YOL013C	0.914197
32	YHR108W	0.913807
33	YGL232W	0.913807
34	YHR195W	0.913027
35	YBR150C	0.912246
36	YKR019C	0.910686
37	YPL165C	0.910296
38	YGR200C	0.908736
39	YNL215W	0.907956
40	YEL037C	0.906006
41	YDL013W	0.905226
42	YHR041C	0.905226
43	YGL168W	0.903666
44	YBR114W	0.900936
45	YPL084W	0.899376
46	YLR417W	0.898986
47	YFL036W	0.898596
48	YDL005C	0.897036
49	YPL045W	0.895476
50	YML013W	0.894696
51	YOL051W	0.894696
52	YMR156C	0.893136
53	YKL160W	0.887676
54	YDR323C	0.886505
55	YGR157W	0.885725
56	YJL065C	0.885335
57	YLR263W	0.882215
58	YPL123C	0.882215
59	YFR034C	0.881825
60	YJL124C	0.881435
61	YMR179W	0.880655
62	YBL088C	0.880265
63	YIR017C	0.879485
64	YNL206C	0.877145
65	YKL110C	0.876365
66	YIL113W	0.875195
67	YGL173C	0.875195
68	YDR022C	0.874805
69	YNL009W	0.874415
70	YKR001C	0.874025
71	YMR190C	0.873635
72	YDR265W	0.872855
73	YDR169C	0.872465
74	YML011C	0.872075
75	YNL250W	0.871685
76	YJR110W	0.871685
77	YGL096W	0.867785
78	YLR174W	0.866615
79	YLR199C	0.866615
80	YOR189W	0.866615
81	YBR273C	0.865835
82	YDL079C	0.863495
83	YBL066C	0.861934
84	YLR039C	0.861154
85	YGL087C	0.859204
86	YDR432W	0.859204
87	YPR164W	0.859204
88	YIL146C	0.855694
89	YJL092W	0.853354
90	YMR231W	0.853354
91	YFL021W	0.852574
92	YGL021W	0.852184
93	YJL106W	0.850624
94	YPR141C	0.850234
95	YER151C	0.850234
96	YGL066W	0.849454
97	YNL136W	0.849454
98	YGL086W	0.847114
99	YPL066W	0.846724
100	YML032C	0.846724
101	YMR016C	0.846334
102	YBR097W	0.845554
103	YBR186W	0.845164
104	YPR135W	0.844774
105	YBR033W	0.844384
106	YGL243W	0.843994
