rank	yeast_gene	ensemble_score
1	YDR043C	0.985179
2	YOR230W	0.979719
3	YER035W	0.975039
4	YMR014W	0.973479
5	YJR030C	0.971139
6	YPR040W	0.963339
7	YNR034W	0.960998
8	YDL036C	0.959438
9	YFL028C	0.959048
10	YMR219W	0.955538
11	YNL288W	0.954758
12	YDR523C	0.954758
13	YML062C	0.949688
14	YHR015W	0.948518
15	YKR036C	0.948128
16	YDR066C	0.946568
17	YNL253W	0.946178
18	YKL214C	0.945398
19	YDR423C	0.944618
20	YCR016W	0.944228
21	YLR035C	0.943838
22	YDR083W	0.943448
23	YOL006C	0.942668
24	YOR014W	0.941888
25	YDL213C	0.940718
26	YPL033C	0.940328
27	YPR171W	0.938768
28	YKR058W	0.938378
29	YAL059W	0.936817
30	YKL009W	0.932137
31	YMR269W	0.930577
32	YKL020C	0.927457
33	YBR141C	0.924727
34	YLR016C	0.921607
35	YLR019W	0.920827
36	YDL175C	0.918877
37	YAL055W	0.917707
38	YBR274W	0.916927
39	YMR191W	0.916537
40	YHR034C	0.916537
41	YLR435W	0.916147
42	YDR496C	0.914587
43	YCR106W	0.914587
44	YGL029W	0.913417
45	YDR252W	0.908346
46	YPL042C	0.907566
47	YML036W	0.907566
48	YPR008W	0.905616
49	YDR174W	0.903666
50	YAL051W	0.903666
51	YLR403W	0.902106
52	YNR063W	0.901716
53	YIR026C	0.900156
54	YOR005C	0.897816
55	YBL079W	0.897036
56	YFR030W	0.892356
57	YJL149W	0.892356
58	YKL067W	0.892356
59	YDR151C	0.891576
60	YDR163W	0.890406
61	YBR218C	0.889626
62	YPL155C	0.888846
63	YNL199C	0.888456
64	YGL125W	0.888456
65	YAL046C	0.887676
66	YDL190C	0.886505
67	YFR001W	0.886505
68	YBL006C	0.882605
69	YOR023C	0.881045
70	YER177W	0.879485
71	YML095C	0.879485
72	YNL025C	0.878315
73	YMR030W	0.877925
74	YER132C	0.876365
75	YMR315W	0.875975
76	YDR159W	0.874805
77	YPR030W	0.874415
78	YOR295W	0.874025
79	YEL015W	0.872075
80	YKL074C	0.870125
81	YMR074C	0.869735
82	YML034W	0.868955
83	YIL130W	0.868565
84	YKR067W	0.867785
85	YIR025W	0.866615
86	YKR048C	0.866225
87	YJR031C	0.862715
88	YLR455W	0.862715
89	YDR443C	0.861934
90	YHR146W	0.860764
91	YLR176C	0.860764
92	YNR023W	0.860374
93	YJR091C	0.859984
94	YJL058C	0.859984
95	YPR075C	0.858424
96	YLR154C	0.858424
97	YKR059W	0.858034
98	YBR290W	0.858034
99	YDL188C	0.857644
100	YPL037C	0.857644
101	YJR127C	0.857644
102	YDR383C	0.854914
103	YOR269W	0.853744
104	YLL054C	0.853744
105	YPR125W	0.853744
106	YPL064C	0.851404
107	YER045C	0.851404
108	YNL031C	0.850234
109	YLR315W	0.849844
110	YOL104C	0.849454
111	YDR073W	0.849064
112	YHL009C	0.849064
113	YER161C	0.848284
114	YJL049W	0.848284
115	YHL025W	0.847894
116	YBL055C	0.847114
117	YKL149C	0.843604
118	YDL134C	0.843214
119	YLR142W	0.841654
120	YIL035C	0.840874
121	YOL017W	0.840484
122	YPL138C	0.839704
123	YLR216C	0.838924
124	YER174C	0.838924
125	YGR173W	0.838534
126	YML124C	0.838144
127	YMR274C	0.837754
128	YLR449W	0.836973
129	YHR207C	0.836973
130	YDR315C	0.836973
131	YDR291W	0.834633
132	YGR081C	0.834633
133	YBR066C	0.834633
134	YMR246W	0.833463
135	YPL164C	0.831123
136	YGL211W	0.831123
137	YML070W	0.828783
138	YML099C	0.827223
139	YDL070W	0.826833
140	YMR069W	0.826053
141	YLR258W	0.824103
142	YFR032C	0.822933
143	YDR120C	0.822153
144	YKR099W	0.821373
145	YPL187W	0.820593
146	YJL137C	0.820203
147	YOR363C	0.820203
148	YGL062W	0.819813
149	YOR078W	0.818253
150	YBR228W	0.817473
151	YHR156C	0.817473
152	YGL037C	0.816693
153	YLR150W	0.816693
154	YKL027W	0.815913
155	YJL103C	0.815523
156	YDL200C	0.814353
157	YGR276C	0.813963
158	YBR103W	0.813573
159	YPL125W	0.812793
160	YDR395W	0.812402
161	YNR006W	0.811232
162	YGR134W	0.810842
163	YKL005C	0.810842
164	YGR129W	0.808892
165	YHL024W	0.808112
166	YNL049C	0.808112
167	YML113W	0.808112
168	YDR255C	0.808112
169	YDR035W	0.808112
170	YLR024C	0.806162
171	YLR342W	0.805382
172	YOR144C	0.804992
173	YOR179C	0.802652
174	YBR233W	0.802652
175	YML041C	0.802652
176	YGR206W	0.802262
177	YDR131C	0.801482
178	YHR031C	0.800702
179	YML058W	0.799922
180	YJL138C	0.799532
181	YMR291W	0.799142
182	YKL043W	0.798752
183	YIL010W	0.798362
184	YPL254W	0.797582
185	YGL089C	0.797192
186	YBR065C	0.796412
187	YPR093C	0.796412
188	YPR070W	0.795632
189	YNL229C	0.795242
190	YKL130C	0.794072
191	YAL011W	0.793292
192	YML118W	0.792902
193	YDL059C	0.792902
194	YOR386W	0.792902
195	YOR344C	0.791732
196	YLR085C	0.791342
197	YPL180W	0.790952
198	YKL057C	0.790952
199	YIL040W	0.790952
200	YMR106C	0.790172
201	YKR093W	0.789782
202	YDR260C	0.788222
203	YNL289W	0.787832
204	YGL208W	0.787832
205	YFR015C	0.787051
206	YGL016W	0.785881
207	YOR195W	0.785881
208	YPL226W	0.785491
209	YPL203W	0.785101
210	YGL078C	0.784711
211	YEL009C	0.784321
212	YDL197C	0.783931
213	YBR275C	0.783931
214	YNL224C	0.783931
215	YBL052C	0.783541
216	YOL086W-A	0.783151
217	YER030W	0.782761
218	YLR192C	0.782761
219	YPR007C	0.782371
220	YJL030W	0.781981
221	YDR488C	0.781981
222	YAL044W-A	0.781201
223	YAR002W	0.780811
224	YIL030C	0.780811
225	YBL024W	0.779251
226	YMR209C	0.778081
227	YLR048W	0.777691
228	YER002W	0.776131
229	YJR043C	0.776131
230	YLL062C	0.774181
231	YDR176W	0.773401
232	YER040W	0.773401
233	YDR312W	0.770671
234	YOL016C	0.770281
235	YJR035W	0.769891
236	YOR112W	0.769501
237	YKL068W	0.768721
238	YDL035C	0.768721
239	YKL212W	0.767941
240	YNL030W	0.767551
241	YHR152W	0.767161
242	YMR284W	0.766771
243	YDL088C	0.764041
244	YBR010W	0.763651
245	YOR064C	0.763651
246	YDR283C	0.762871
247	YDR110W	0.762871
248	YDR289C	0.762090
249	YGL014W	0.760530
250	YLR253W	0.760530
251	YDR480W	0.759750
252	YDR285W	0.758970
253	YIL079C	0.757020
254	YBL010C	0.756630
255	YPR065W	0.756240
256	YLR265C	0.755460
257	YNL248C	0.755070
258	YBR280C	0.754680
259	YEL066W	0.754290
260	YOR156C	0.753900
261	YOR315W	0.753120
262	YOR028C	0.752730
263	YKL185W	0.752730
264	YOL042W	0.750780
265	YIL056W	0.750780
266	YBR276C	0.750390
267	YKL166C	0.749220
268	YLR120C	0.748050
269	YML058W-A	0.746490
270	YCR020W-B	0.746100
271	YAL015C	0.744930
