rank	yeast_gene	ensemble_score
1	YPR149W	0.976989
2	YGR233C	0.974649
3	YMR173W	0.966459
4	YHR157W	0.965679
5	YDR364C	0.959048
6	YGL181W	0.957878
7	YGR104C	0.957488
8	YHR041C	0.954368
9	YPL139C	0.952808
10	YER075C	0.952418
11	YNL008C	0.947738
12	YNL053W	0.946178
13	YMR100W	0.945788
14	YPL181W	0.937988
15	YGR070W	0.936427
16	YLR025W	0.935647
17	YGL127C	0.935257
18	YMR037C	0.934477
19	YOR360C	0.933697
20	YHL027W	0.932527
21	YKL222C	0.927457
22	YBR285W	0.926677
23	YDR358W	0.925507
24	YCL040W	0.924337
25	YIL017C	0.923167
26	YDL077C	0.922387
27	YKR060W	0.921607
28	YJR102C	0.921607
29	YKL206C	0.920827
30	YBR175W	0.920827
31	YNL142W	0.920437
32	YPR101W	0.919657
33	YOL117W	0.918487
34	YMR276W	0.918487
35	YIR013C	0.917317
36	YGL115W	0.916537
37	YML076C	0.916147
38	YGR209C	0.915757
39	YPL002C	0.915367
40	YCL011C	0.914197
41	YDR001C	0.912637
42	YJL128C	0.911856
43	YBR095C	0.911466
44	YML074C	0.908736
45	YHR111W	0.907956
46	YGL222C	0.907566
47	YPL157W	0.906786
48	YAL013W	0.906396
49	YAL056W	0.904446
50	YJL089W	0.902496
51	YOL111C	0.902496
52	YNL097C	0.900546
53	YPL144W	0.897426
54	YNR015W	0.897426
55	YFL014W	0.896256
56	YER139C	0.895866
57	YGL094C	0.894696
58	YBR105C	0.893526
59	YOL028C	0.891576
60	YML001W	0.890016
61	YMR012W	0.888846
62	YPL120W	0.887676
63	YBL047C	0.887676
64	YDR495C	0.887285
65	YOL115W	0.886895
66	YOL004W	0.886505
67	YPL176C	0.886115
68	YPL121C	0.884555
69	YOR298C-A	0.882995
70	YPL273W	0.882215
71	YFR014C	0.882215
72	YGL070C	0.881825
73	YLR014C	0.881435
74	YOR290C	0.879875
75	YBR258C	0.879485
76	YIL084C	0.879095
77	YBR201W	0.878705
78	YHR119W	0.878315
79	YML082W	0.877925
80	YPL001W	0.877535
81	YNL218W	0.875975
82	YCR087C-A	0.875195
83	YHR108W	0.875195
84	YMR119W	0.874025
85	YPL065W	0.873635
86	YNL016W	0.873245
87	YOR358W	0.872855
88	YDR277C	0.870905
89	YPR160W	0.870515
90	YDR320C	0.869735
91	YMR261C	0.868955
92	YLR364W	0.868955
93	YDL216C	0.868565
94	YJR096W	0.867785
95	YMR263W	0.865055
96	YNL330C	0.865055
97	YBL056W	0.863885
98	YPL015C	0.863495
99	YMR312W	0.862715
100	YLR417W	0.862715
101	YOR197W	0.862324
102	YDL005C	0.861934
103	YGL058W	0.861544
104	YGR122W	0.860764
105	YPL045W	0.860374
106	YDR079C-A	0.859594
107	YBL057C	0.859594
108	YBL078C	0.859594
109	YDR179C	0.856474
110	YLR231C	0.854524
111	YNL323W	0.854134
112	YPR052C	0.853744
113	YNL307C	0.852184
114	YML111W	0.850234
115	YJL105W	0.849454
116	YPL109C	0.849064
117	YNL159C	0.848284
118	YHR003C	0.847894
119	YLR024C	0.847114
120	YCR020C-A	0.846724
121	YPL055C	0.845944
122	YMR067C	0.845944
123	YOR123C	0.845554
124	YOR173W	0.845554
125	YOR153W	0.845164
126	YDR255C	0.844384
127	YGR108W	0.842824
128	YNL286W	0.841654
129	YDR181C	0.840874
130	YIL119C	0.840874
131	YIL131C	0.840094
132	YNL049C	0.839314
