rank	yeast_gene	ensemble_score
1	YGL110C	0.991420
2	YKL198C	0.991030
3	YLR329W	0.989860
4	YGR097W	0.987910
5	YLR438W	0.985959
6	YNL159C	0.985959
7	YIR019C	0.985569
8	YOR113W	0.983619
9	YBL057C	0.981279
10	YEL013W	0.978159
11	YKR023W	0.977769
12	YDL091C	0.977769
13	YBL021C	0.977379
14	YDR074W	0.976599
15	YGL241W	0.975429
16	YGR135W	0.973479
17	YMR287C	0.973089
18	YPL096C-A	0.973089
19	YLL022C	0.972309
20	YHR135C	0.970749
21	YBR057C	0.970749
22	YMR072W	0.969189
23	YIL016W	0.966459
24	YDR363W-A	0.965679
25	YOR371C	0.965679
26	YAL017W	0.964509
27	YJL153C	0.963339
28	YPL144W	0.962559
29	YIL128W	0.961778
30	YDR477W	0.959828
31	YML075C	0.959048
32	YFL014W	0.957878
33	YDR330W	0.957488
34	YHR032W	0.957098
35	YNL098C	0.955538
36	YIL033C	0.955538
37	YKL054C	0.954758
38	YGL071W	0.953978
39	YJL105W	0.952418
40	YNL209W	0.950858
41	YPL049C	0.950858
42	YGR108W	0.948908
43	YKR060W	0.948908
44	YIL122W	0.948518
45	YKL109W	0.947738
46	YDR219C	0.945008
47	YLL039C	0.943448
48	YDL056W	0.942668
49	YGL252C	0.942668
50	YOR058C	0.942278
51	YBL080C	0.941888
52	YGL141W	0.941888
53	YKL029C	0.941108
54	YER179W	0.940718
55	YOL082W	0.940718
56	YLR119W	0.939548
57	YOL093W	0.939158
58	YKL116C	0.938768
59	YPR057W	0.938378
60	YNL082W	0.937598
61	YDR463W	0.936427
62	YKR072C	0.936427
63	YOR251C	0.936037
64	YDR507C	0.935257
65	YOL067C	0.934867
66	YLR021W	0.934477
67	YGL197W	0.933307
68	YDR458C	0.933307
69	YMR293C	0.932527
70	YHR006W	0.932527
71	YBR165W	0.930967
72	YMR276W	0.930187
73	YPR160W	0.930187
74	YJL048C	0.929797
75	YER173W	0.929017
76	YDR448W	0.926677
77	YJL206C	0.926677
78	YKL011C	0.926287
79	YLR219W	0.925897
80	YLR453C	0.925897
81	YGL180W	0.925507
82	YPL212C	0.924337
83	YIL008W	0.923947
84	YPL186C	0.921997
85	YHR193C	0.921997
86	YOR290C	0.920827
87	YLR364W	0.920047
88	YIR005W	0.918487
89	YML076C	0.917707
90	YMR312W	0.917317
91	YAL056W	0.917317
92	YFR038W	0.917317
93	YNL242W	0.916927
94	YML006C	0.916537
95	YLR043C	0.916147
96	YCR020C-A	0.916147
97	YLR270W	0.915367
98	YDR001C	0.914977
99	YHR111W	0.914587
100	YJL187C	0.913807
101	YPL101W	0.911856
102	YOR358W	0.910686
103	YGL127C	0.910296
104	YOL045W	0.907956
105	YPR009W	0.907956
106	YNL286W	0.907956
107	YIL146C	0.907956
108	YPR173C	0.906396
109	YKL090W	0.906396
110	YLR133W	0.904836
111	YNL307C	0.904056
112	YJL083W	0.903666
113	YDR057W	0.903276
114	YNL210W	0.900936
115	YNR032C-A	0.900156
116	YDR392W	0.898206
117	YIL017C	0.897426
118	YOR231W	0.897426
119	YDR156W	0.896646
120	YDL216C	0.891576
121	YNL167C	0.890406
122	YNL076W	0.890406
123	YMR026C	0.888846
124	YIL131C	0.887285
125	YIL119C	0.887285
126	YER075C	0.887285
127	YPL120W	0.886895
128	YNL201C	0.885725
129	YPR101W	0.884945
130	YML088W	0.884555
131	YOR191W	0.884555
132	YDR285W	0.882215
133	YJL095W	0.881435
134	YOR298C-A	0.880265
135	YHR004C	0.880265
136	YJR069C	0.879485
137	YER100W	0.879095
138	YGL115W	0.877925
139	YOR033C	0.877145
140	YDR179C	0.875975
141	YDL197C	0.874415
142	YDR277C	0.874025
143	YGL043W	0.873635
144	YGL244W	0.873245
145	YMR164C	0.872855
146	YGL004C	0.872855
147	YJL036W	0.872465
148	YBR276C	0.872465
149	YOR064C	0.872075
150	YDR513W	0.871685
151	YPL021W	0.870905
152	YDR518W	0.870515
153	YOL117W	0.870515
154	YPL001W	0.868565
155	YBR228W	0.863495
156	YJL210W	0.862715
157	YAL024C	0.861934
158	YCR053W	0.861544
159	YPL149W	0.859984
160	YDR266C	0.857644
161	YDR364C	0.856864
162	YGL166W	0.855694
163	YKL041W	0.855304
164	YDR123C	0.855304
165	YNR015W	0.854914
166	YNL213C	0.854524
167	YLR094C	0.854134
168	YPR022C	0.854134
169	YBR258C	0.851794
170	YLR226W	0.851794
171	YLR389C	0.849454
172	YPL184C	0.847894
173	YCR008W	0.847504
174	YBL052C	0.846724
175	YBR082C	0.845944
176	YNL107W	0.845944
177	YOR354C	0.845164
178	YDR247W	0.843604
179	YPR152C	0.842824
180	YIL030C	0.841654
181	YER027C	0.840874
182	YBL103C	0.839314
183	YPL109C	0.838144
184	YGL089C	0.837363
185	YER089C	0.837363
186	YGR071C	0.833463
187	YMR173W	0.833073
188	YBL056W	0.831903
189	YKL068W	0.831903
190	YDR457W	0.830733
191	YLR418C	0.829953
192	YDR026C	0.829563
193	YNL106C	0.826443
194	YDR075W	0.825663
195	YIL084C	0.825273
196	YHR157W	0.824883
197	YMR036C	0.823713
198	YOR208W	0.822543
199	YPL055C	0.821373
200	YGR081C	0.820593
201	YMR129W	0.820593
202	YNL186W	0.820593
203	YGR249W	0.820203
204	YLR431C	0.818643
205	YGL251C	0.817473
206	YBL019W	0.817083
207	YGL094C	0.815523
208	YJL176C	0.813963
209	YBR279W	0.813963
210	YCR073C	0.811622
211	YOR123C	0.809672
212	YML109W	0.808892
213	YDR440W	0.808502
214	YPL045W	0.808112
215	YDL077C	0.807722
216	YLR024C	0.807332
217	YGL229C	0.807332
218	YJR035W	0.806942
219	YDR079C-A	0.806552
220	YBL078C	0.806552
221	YPL176C	0.805772
222	YLR131C	0.805382
223	YMR264W	0.804602
224	YBR290W	0.803822
225	YHR202W	0.802652
226	YGR134W	0.802262
227	YBR285W	0.799532
228	YMR012W	0.798752
229	YJL164C	0.798362
230	YHR003C	0.797582
231	YLR055C	0.794852
232	YPR093C	0.794852
233	YPL273W	0.793682
234	YCL010C	0.792902
235	YDR005C	0.792512
236	YGR152C	0.791342
237	YIL056W	0.791342
238	YLR309C	0.790562
239	YBR125C	0.789782
240	YDL074C	0.789392
241	YBR140C	0.788612
242	YKL010C	0.788222
243	YMR263W	0.787832
244	YNL022C	0.787441
245	YMR261C	0.787441
246	YGL058W	0.785881
247	YOL004W	0.785881
248	YMR186W	0.785491
249	YOR360C	0.785491
250	YPL121C	0.785101
251	YNL049C	0.783931
252	YNL218W	0.782761
253	YBR212W	0.779641
254	YMR285C	0.778861
255	YGR070W	0.778861
256	YKR057W	0.778471
257	YGL181W	0.777691
258	YNR047W	0.777691
259	YPR023C	0.776131
260	YAL013W	0.776131
261	YFR014C	0.775741
262	YDR378C	0.774571
263	YEL015W	0.774571
264	YPL181W	0.773401
265	YMR138W	0.773011
266	YOL054W	0.773011
267	YBR095C	0.772621
268	YER139C	0.772231
269	YHL034C	0.771451
270	YPL213W	0.770281
271	YMR021C	0.769891
272	YBR297W	0.769891
273	YGL237C	0.769111
274	YDR395W	0.768331
275	YOR295W	0.768331
276	YKR039W	0.767551
277	YPL065W	0.767161
278	YLR207W	0.766771
279	YHR041C	0.765601
280	YKL110C	0.765211
281	YNL330C	0.764431
282	YKR067W	0.764431
283	YKL206C	0.764431
284	YIL073C	0.762871
285	YNL097C	0.762871
286	YPL116W	0.761700
287	YML102W	0.761700
288	YKR029C	0.759750
289	YKL002W	0.759360
290	YFR010W	0.758970
291	YPL084W	0.758580
292	YAL044W-A	0.758190
293	YBR201W	0.757800
294	YKL130C	0.757410
295	YKL185W	0.757410
296	YCR033W	0.755850
297	YNR010W	0.755460
298	YDL149W	0.755460
299	YLL042C	0.755070
300	YMR116C	0.754290
301	YOL145C	0.753900
302	YOR027W	0.753510
303	YDR375C	0.753120
304	YBL047C	0.750780
305	YDR022C	0.749610
306	YLR199C	0.749610
307	YBR231C	0.749610
308	YLR394W	0.749220
309	YDR358W	0.749220
310	YPL100W	0.748440
311	YGL179C	0.747660
312	YML128C	0.747660
313	YGL222C	0.747270
314	YPL157W	0.747270
315	YGR247W	0.746490
316	YER143W	0.746100
317	YBR089C-A	0.745710
318	YDR176W	0.745710
