rank	yeast_gene	ensemble_score
1	YJL128C	0.972699
2	YMR119W	0.971919
3	YDL074C	0.971529
4	YMR199W	0.964119
5	YDL127W	0.963729
6	YML111W	0.961388
7	YHL027W	0.960998
8	YMR100W	0.960218
9	YMR264W	0.955148
10	YDR469W	0.955148
11	YLR224W	0.954368
12	YPL167C	0.947348
13	YBR073W	0.946958
14	YDL019C	0.946178
15	YLR263W	0.944228
16	YGL058W	0.937988
17	YBL078C	0.937598
18	YIL112W	0.931357
19	YBR272C	0.925897
20	YDL171C	0.924727
21	YLR226W	0.923557
22	YGL181W	0.920437
23	YOR189W	0.911076
24	YKL086W	0.908346
25	YPL213W	0.907956
26	YJR102C	0.907956
27	YDR358W	0.903666
28	YNL008C	0.903276
29	YBR279W	0.902886
30	YLR417W	0.896256
31	YFR001W	0.895866
32	YGL043W	0.893526
33	YHR119W	0.892356
34	YAR003W	0.891576
35	YPL086C	0.891186
36	YHR200W	0.890406
37	YLR006C	0.887285
38	YHR193C	0.886895
39	YBR175W	0.886505
40	YBR297W	0.882995
41	YDR181C	0.882605
42	YLR025W	0.882605
43	YOR144C	0.881825
44	YBR201W	0.879485
45	YIR002C	0.879485
46	YPL254W	0.878315
47	YGL243W	0.874415
48	YLR385C	0.870905
49	YGR200C	0.870515
50	YFR010W	0.870125
51	YOR123C	0.868565
52	YHR041C	0.865835
53	YDR477W	0.862324
54	YDR482C	0.860764
55	YKL041W	0.859594
56	YLR154C	0.858814
57	YER184C	0.858424
58	YHR157W	0.858034
59	YOR172W	0.855304
60	YCR087C-A	0.854914
61	YDR451C	0.854914
62	YDR073W	0.853354
63	YLR228C	0.852964
64	YPL055C	0.850624
65	YDR364C	0.850234
66	YDL076C	0.845944
67	YLR199C	0.843214
68	YER139C	0.842824
69	YOR213C	0.842824
70	YOL145C	0.842824
71	YOL117W	0.842434
72	YNR015W	0.842044
73	YMR012W	0.842044
74	YHR031C	0.839704
75	YJL083W	0.838924
76	YLR015W	0.836193
77	YGL086W	0.835413
78	YGL244W	0.835023
79	YJL210W	0.832683
80	YML121W	0.832293
81	YGL127C	0.831903
82	YGR104C	0.830733
83	YNL307C	0.830733
84	YDR169C	0.829953
85	YMR186W	0.828003
86	YBL002W	0.827613
87	YGL087C	0.827613
88	YBR095C	0.827613
89	YBR195C	0.826443
90	YNL142W	0.825273
91	YDR495C	0.824493
92	YNR009W	0.823323
93	YOR290C	0.822933
94	YOR298C-A	0.822933
95	YKL090W	0.822933
96	YJR043C	0.822153
97	YPL066W	0.818643
98	YPL216W	0.817863
99	YIL056W	0.815523
100	YPL065W	0.815133
101	YOR078W	0.815133
102	YFR046C	0.813573
103	YKL222C	0.812793
104	YMR276W	0.812793
105	YOR191W	0.812012
106	YDL194W	0.811622
107	YNL286W	0.811232
108	YOR171C	0.808892
109	YBL006C	0.807722
110	YIL131C	0.806942
111	YGL192W	0.806552
112	YPL015C	0.805382
113	YNL298W	0.804992
114	YPR042C	0.804602
115	YPL139C	0.803042
116	YBR105C	0.801872
117	YHR108W	0.801872
118	YLR055C	0.799922
119	YPL002C	0.799532
120	YJR140C	0.797972
121	YBR182C	0.797582
122	YDL170W	0.797192
123	YMR263W	0.794852
124	YPL241C	0.793292
125	YDR001C	0.790952
126	YHR152W	0.790952
127	YGR070W	0.787832
128	YBR066C	0.787441
129	YGL174W	0.785491
130	YGR232W	0.785101
131	YGL066W	0.784711
132	YPL180W	0.783541
133	YNL128W	0.782761
134	YHR187W	0.782761
135	YDL005C	0.781981
136	YDL179W	0.780031
137	YOL089C	0.779641
138	YNL218W	0.778861
139	YAL013W	0.778471
140	YKR001C	0.778081
141	YOL045W	0.776911
142	YER151C	0.776911
143	YJL089W	0.776131
144	YGR275W	0.776131
145	YBR275C	0.774571
146	YOR360C	0.773791
147	YBR057C	0.773401
148	YOR025W	0.773401
149	YDR049W	0.773011
150	YPL084W	0.771451
151	YNL311C	0.771451
152	YNR032C-A	0.771061
153	YOR339C	0.770281
154	YOL004W	0.769111
155	YDR255C	0.768331
156	YGL115W	0.768331
157	YBR103W	0.767941
158	YGR108W	0.767941
159	YMR133W	0.767161
160	YAL053W	0.767161
161	YLR384C	0.767161
162	YMR127C	0.766771
163	YLR192C	0.765991
164	YKR092C	0.763261
165	YPR022C	0.762090
166	YKL213C	0.760920
167	YPL157W	0.760920
168	YIL040W	0.760140
169	YER040W	0.760140
170	YIR005W	0.759750
171	YBR150C	0.758970
172	YER111C	0.757800
173	YDR363W-A	0.757020
174	YLR174W	0.756630
175	YMR156C	0.755460
176	YLR119W	0.754290
177	YML057W	0.753900
178	YLR325C	0.753510
179	YOR337W	0.752730
180	YER142C	0.751950
181	YJL110C	0.750780
182	YNL009W	0.750780
183	YPR018W	0.748050
184	YNR006W	0.748050
185	YPL203W	0.747270
186	YDL113C	0.744150
187	YLR182W	0.743370
188	YOR371C	0.742980
189	YLL022C	0.742200
190	YDR156W	0.742200
191	YOR279C	0.738690
192	YPL186C	0.737129
193	YOL043C	0.736739
194	YMR039C	0.736349
195	YKR034W	0.735959
196	YBR033W	0.735569
197	YMR129W	0.735179
198	YNL097C	0.734009
199	YNR023W	0.733619
200	YGR233C	0.732839
201	YHR111W	0.732449
202	YPL089C	0.732059
203	YNR047W	0.732059
204	YJL176C	0.731279
205	YBR058C	0.728939
206	YPR101W	0.728159
207	YHL022C	0.727769
208	YMR037C	0.727379
209	YMR180C	0.726989
210	YLR398C	0.726599
211	YKL160W	0.726599
212	YGL014W	0.725429
