rank	yeast_gene	ensemble_score
1	YDR295C	0.952028
2	YPR179C	0.950078
3	YPL046C	0.941108
4	YBR098W	0.932527
5	YLR352W	0.931747
6	YNL021W	0.920047
7	YLR097C	0.917317
8	YMR275C	0.914977
9	YAL040C	0.914197
10	YDL101C	0.910296
11	YNL230C	0.904446
12	YGL062W	0.901326
13	YDR260C	0.900936
14	YOR107W	0.900546
15	YHR082C	0.898596
16	YBR112C	0.898206
17	YFL044C	0.895476
18	YMR273C	0.895476
19	YPL125W	0.884945
20	YPL008W	0.884945
21	YHR079C	0.881435
22	YJL049W	0.880655
23	YPL202C	0.879875
24	YDR006C	0.878315
25	YDR076W	0.875975
26	YGL021W	0.862715
27	YDR030C	0.861154
28	YNL278W	0.861154
29	YJL058C	0.859204
30	YMR205C	0.856864
31	YGR003W	0.852964
32	YDL154W	0.851794
33	YHR207C	0.838144
34	YLR304C	0.836583
35	YGL220W	0.832293
36	YMR105C	0.829953
37	YGL253W	0.829953
38	YPL155C	0.829563
39	YGL090W	0.829173
40	YOL042W	0.824883
41	YBR245C	0.821763
42	YBR223C	0.820203
43	YDR004W	0.819813
44	YML081W	0.817473
45	YGR040W	0.816303
46	YER045C	0.813963
47	YDR422C	0.813963
48	YOL136C	0.812402
49	YER016W	0.812012
50	YHR192W	0.809282
51	YJR099W	0.808892
52	YCL061C	0.806162
53	YJR119C	0.805772
54	YMR078C	0.804212
55	YJR135C	0.802652
56	YGL163C	0.802262
57	YER028C	0.800702
58	YDR099W	0.800312
59	YOR112W	0.798752
60	YOR101W	0.797582
61	YDL236W	0.796802
62	YBR274W	0.796802
63	YDR191W	0.794852
64	YKL205W	0.791732
65	YAL027W	0.791342
66	YGL246C	0.787832
67	YBR009C	0.786271
68	YCR086W	0.785881
69	YMR234W	0.785491
70	YJR060W	0.783931
71	YLR136C	0.783931
72	YOR243C	0.783541
73	YPL024W	0.783151
74	YLR320W	0.781201
75	YLR429W	0.780811
76	YER092W	0.780421
77	YLR102C	0.778861
78	YHR171W	0.778861
79	YNR031C	0.773401
80	YPL042C	0.773011
81	YOR368W	0.770671
82	YJR030C	0.767551
83	YMR304W	0.767551
84	YGR240C	0.767551
85	YLR113W	0.766771
86	YMR233W	0.764821
87	YBL024W	0.764431
88	YMR306W	0.764431
89	YMR044W	0.762871
90	YLR052W	0.762480
91	YOR338W	0.762090
92	YGL175C	0.758190
93	YPL165C	0.754680
94	YIR023W	0.753900
95	YMR177W	0.753120
96	YBL008W	0.751560
97	YKR017C	0.748440
98	YKL214C	0.748440
99	YGL209W	0.747660
100	YGR133W	0.747270
101	YPL248C	0.747270
102	YGL240W	0.746880
103	YKR028W	0.746490
104	YNL020C	0.745710
105	YLL002W	0.745320
106	YEL061C	0.744540
107	YMR201C	0.744150
108	YDL051W	0.742590
109	YNL138W	0.740250
110	YNL155W	0.740250
111	YPL133C	0.738300
112	YMR224C	0.737910
113	YOR091W	0.736739
114	YDR143C	0.736739
115	YNL025C	0.736739
116	YLR433C	0.736739
117	YJR094C	0.735959
118	YAL019W	0.735959
119	YDR244W	0.735569
120	YFR036W	0.734009
121	YOR038C	0.732449
122	YKL127W	0.732449
123	YNL116W	0.732059
124	YPR199C	0.731669
125	YLL062C	0.730889
126	YFL013C	0.730499
127	YNL311C	0.730109
128	YOR229W	0.729719
129	YER051W	0.728939
130	YJL056C	0.726989
131	YAR042W	0.726599
132	YGR276C	0.726209
133	YAL009W	0.725429
134	YLR176C	0.725039
135	YFR032C	0.724649
136	YDL190C	0.724649
137	YDR146C	0.723479
138	YOR339C	0.723089
139	YDR306C	0.722699
140	YMR269W	0.722699
141	YLR368W	0.721529
142	YFL007W	0.719579
143	YPR135W	0.719189
144	YGL208W	0.718409
145	YLR363C	0.718409
146	YER116C	0.717629
147	YAL021C	0.716849
148	YBL079W	0.716069
149	YPL187W	0.714509
150	YCL029C	0.713339
151	YNL250W	0.712949
152	YAR035W	0.712559
153	YDL090C	0.712559
154	YIL107C	0.711778
155	YMR291W	0.711778
156	YDL106C	0.710998
157	YLR427W	0.710218
158	YLR288C	0.710218
159	YDL006W	0.709828
160	YDR035W	0.709828
161	YLR451W	0.709438
162	YLR377C	0.709048
163	YGL003C	0.708658
164	YPR196W	0.708268
165	YDR223W	0.707488
166	YBL055C	0.706708
167	YCR014C	0.706708
168	YHR077C	0.704758
169	YML100W	0.702808
170	YNL239W	0.702418
171	YDR386W	0.701248
172	YJR021C	0.698518
173	YML124C	0.697348
174	YGR122W	0.697348
175	YDR480W	0.696568
176	YDR488C	0.696568
177	YIR025W	0.695788
178	YCR028C-A	0.695398
179	YKR093W	0.695008
180	YOL086W-A	0.693838
181	YHR178W	0.691888
182	YDL230W	0.691888
183	YLR248W	0.691888
184	YDR315C	0.690718
185	YOR205C	0.690328
186	YNL130C	0.689938
187	YBR062C	0.689548
188	YKL038W	0.689548
189	YBR028C	0.688768
190	YHL010C	0.688768
191	YLR357W	0.688378
192	YBR010W	0.686427
193	YKL149C	0.685647
194	YPL274W	0.684087
195	YGR129W	0.682917
196	YDR335W	0.680577
197	YMR136W	0.679797
198	YDR289C	0.679407
199	YER002W	0.678627
200	YMR246W	0.678237
201	YGL131C	0.678237
202	YGL035C	0.677847
203	YNL288W	0.677847
204	YKL034W	0.673947
205	YOR005C	0.673557
206	YNL023C	0.673557
207	YBR111W-A	0.673167
208	YOL001W	0.672777
209	YOR140W	0.672387
210	YML068W	0.671997
211	YNR034W	0.671997
212	YMR190C	0.671217
213	YKR082W	0.671217
214	YDL036C	0.670437
215	YDL002C	0.670047
216	YPL194W	0.670047
217	YOR197W	0.670047
218	YOL068C	0.669657
219	YCL055W	0.669657
220	YDR383C	0.669657
221	YHR033W	0.668487
222	YMR030W	0.668097
223	YPL180W	0.667707
224	YBR203W	0.667317
225	YAL039C	0.666927
226	YNR074C	0.666537
227	YBL003C	0.666537
228	YFL052W	0.666147
229	YIL036W	0.665367
230	YMR280C	0.665367
231	YML011C	0.664977
232	YMR025W	0.664587
233	YER064C	0.663807
234	YHL009C	0.663807
235	YPR070W	0.662637
236	YML128C	0.662637
237	YLL013C	0.661076
238	YDR443C	0.660686
239	YLR148W	0.660296
240	YDR334W	0.660296
241	YDL088C	0.659906
242	YML058W-A	0.658736
243	YLR435W	0.657956
244	YDL214C	0.657956
245	YBR114W	0.657176
246	YOR386W	0.657176
247	YNL224C	0.656396
248	YJL092W	0.656006
249	YAL053W	0.655616
250	YLR180W	0.654836
251	YKL091C	0.654446
252	YDL138W	0.654446
253	YNR032W	0.654056
254	YAL051W	0.654056
255	YAL059W	0.653276
256	YGR021W	0.653276
257	YMR080C	0.652496
258	YHL002W	0.652496
259	YJL115W	0.652496
260	YLR014C	0.651716
261	YPR046W	0.651716
262	YLR401C	0.651326
263	YDR217C	0.650936
264	YOR173W	0.650546
265	YGL151W	0.650156
266	YDR283C	0.649766
267	YML057W	0.648596
268	YOR269W	0.648206
269	YOR230W	0.647816
270	YEL066W	0.647036
271	YDR066C	0.647036
272	YMR172W	0.646256
273	YDR432W	0.645866
274	YCL024W	0.645476
275	YPL033C	0.644696
276	YBL051C	0.644696
277	YML061C	0.644306
278	YBR140C	0.643526
279	YDR482C	0.642746
280	YJL137C	0.642356
281	YML072C	0.642356
282	YER031C	0.641966
283	YPR040W	0.641966
284	YJR031C	0.641186
285	YOR047C	0.640406
286	YCR065W	0.640016
287	YDR310C	0.640016
