rank	yeast_gene	ensemble_score
1	YOR005C	0.994540
2	YML095C	0.990640
3	YBR223C	0.987910
4	YJL049W	0.986349
5	YFR015C	0.985959
6	YNR063W	0.985569
7	YMR105C	0.984009
8	YKR058W	0.982839
9	YDR110W	0.981279
10	YLR381W	0.978939
11	YPR040W	0.976989
12	YGR240C	0.975819
13	YNL289W	0.975039
14	YGL090W	0.974649
15	YLL062C	0.974259
16	YJL137C	0.973869
17	YDR312W	0.971529
18	YDR043C	0.971529
19	YBR274W	0.971529
20	YBL024W	0.968409
21	YPL155C	0.965679
22	YBL010C	0.963729
23	YDR030C	0.963339
24	YPR030W	0.962559
25	YNL253W	0.959438
26	YGL037C	0.958658
27	YIL107C	0.957098
28	YGR173W	0.957098
29	YDR252W	0.953588
30	YLR016C	0.952808
31	YNL288W	0.951638
32	YGL175C	0.950078
33	YMR274C	0.949688
34	YPL164C	0.949298
35	YHR207C	0.947738
36	YDR423C	0.945398
37	YNL278W	0.944618
38	YDL175C	0.944618
39	YJL058C	0.943448
40	YJR091C	0.941498
41	YNL031C	0.941498
42	YDR291W	0.940328
43	YLR258W	0.940328
44	YER045C	0.939158
45	YER035W	0.939158
46	YPL026C	0.937207
47	YPL064C	0.936817
48	YDR283C	0.935647
49	YML118W	0.932917
50	YOR112W	0.931357
51	YDR131C	0.930187
52	YDR523C	0.929797
53	YDL190C	0.929797
54	YNL130C	0.929407
55	YOL017W	0.925897
56	YAL059W	0.925507
57	YOR230W	0.924337
58	YPR008W	0.923947
59	YPR007C	0.923167
60	YNR034W	0.920827
61	YKR036C	0.920827
62	YGR152C	0.920827
63	YBR065C	0.920827
64	YFR030W	0.920047
65	YFR032C	0.917707
66	YKL067W	0.915367
67	YNL224C	0.914977
68	YMR306W	0.914587
69	YAL055W	0.914197
70	YMR201C	0.913807
71	YKL010C	0.913417
72	YFL031W	0.913027
73	YBR028C	0.913027
74	YGL125W	0.912637
75	YMR191W	0.912637
76	YDR254W	0.912246
77	YDR099W	0.912246
78	YKR064W	0.912246
79	YBR217W	0.908346
80	YDL036C	0.908346
81	YLR435W	0.908346
82	YLR394W	0.908346
83	YBR228W	0.907566
84	YBR280C	0.906786
85	YCR106W	0.906396
86	YJL149W	0.904836
87	YKL127W	0.904836
88	YMR209C	0.903666
89	YJR053W	0.902106
90	YDR120C	0.901326
91	YDR155C	0.900936
92	YBR107C	0.899766
93	YCR016W	0.898986
94	YDR480W	0.898596
95	YKR059W	0.898206
96	YOR269W	0.898206
97	YHL006C	0.897816
98	YLR288C	0.897426
99	YLR376C	0.894306
100	YAL015C	0.893916
101	YPL274W	0.893136
102	YMR137C	0.892746
103	YDL154W	0.892356
104	YAL051W	0.891186
105	YEL066W	0.888846
106	YMR304W	0.888066
107	YOR346W	0.886115
108	YFL028C	0.885335
109	YDR488C	0.885335
110	YHR146W	0.884945
111	YLR309C	0.884555
112	YNL239W	0.883775
113	YDL200C	0.883775
114	YKL005C	0.883775
115	YBR188C	0.882605
116	YML007W	0.881825
117	YLR253W	0.881435
118	YHL025W	0.881045
119	YGR247W	0.879875
120	YJR030C	0.876365
121	YBR141C	0.876365
122	YOL080C	0.876365
123	YDL059C	0.875975
124	YLR035C	0.875975
125	YMR074C	0.875195
126	YER049W	0.874805
127	YNL155W	0.874415
128	YPL154C	0.873635
129	YEL015W	0.872855
130	YDL213C	0.872855
131	YNL229C	0.872855
132	YGL062W	0.872075
133	YDR279W	0.871685
134	YML062C	0.869735
135	YMR139W	0.869345
136	YJR031C	0.869345
137	YPL187W	0.867785
138	YIL010W	0.866225
139	YBR066C	0.866225
140	YLR363C	0.864275
141	YNL201C	0.863885
142	YJL138C	0.863495
143	YKL166C	0.863495
144	YFL007W	0.863105
145	YML109W	0.861934
146	YGL089C	0.859594
147	YAL027W	0.858424
148	YDR314C	0.856474
149	YGL211W	0.854914
150	YBL051C	0.854524
151	YLR451W	0.852964
152	YKL130C	0.852574
153	YPL138C	0.852184
154	YOR195W	0.851794
155	YKL020C	0.850234
156	YDR213W	0.850234
157	YJL164C	0.849064
158	YDR176W	0.847894
159	YMR164C	0.846724
160	YOR064C	0.846334
161	YDL134C	0.846334
162	YNR023W	0.845164
163	YOR351C	0.843994
164	YLR142W	0.843214
165	YMR048W	0.842434
166	YLR401C	0.840484
167	YPL194W	0.838534
168	YIL130W	0.836973
169	YER177W	0.836973
170	YPR171W	0.835803
171	YJL178C	0.835413
172	YMR030W	0.835413
173	YBR089C-A	0.835023
174	YMR246W	0.834243
175	YPL042C	0.833853
176	YMR219W	0.832683
177	YBR290W	0.832293
178	YLR403W	0.831903
179	YOR028C	0.829563
180	YLR176C	0.828783
181	YJL030W	0.828783
182	YMR036C	0.828003
183	YDL197C	0.827223
184	YJR035W	0.826443
185	YDL188C	0.823713
186	YMR302C	0.822543
187	YBL055C	0.821763
188	YDL020C	0.820203
189	YLR315W	0.819423
190	YER051W	0.819423
191	YMR177W	0.817473
192	YBR233W	0.817473
193	YMR138W	0.817473
194	YFR013W	0.817083
195	YDR130C	0.815133
196	YGR202C	0.813963
197	YOL001W	0.812793
198	YPR075C	0.812402
199	YNR006W	0.811232
200	YBL052C	0.810842
201	YCR073C	0.808502
202	YGR019W	0.808112
203	YPL133C	0.806942
204	YGL195W	0.806552
205	YOL087C	0.805382
206	YLR019W	0.803822
207	YMR315W	0.803432
208	YLR377C	0.803042
209	YLR120C	0.802262
210	YER100W	0.801872
211	YOR014W	0.800702
212	YPL033C	0.799922
213	YDR263C	0.799922
214	YLR216C	0.799532
215	YKL074C	0.798362
216	YGR134W	0.797972
217	YHR206W	0.796022
218	YLR433C	0.794852
219	YNL273W	0.794462
220	YDR273W	0.792902
221	YNL049C	0.792122
222	YML034W	0.791342
223	YMR026C	0.790172
224	YBL003C	0.789392
225	YLR024C	0.789392
226	YKL025C	0.785491
227	YLL048C	0.785101
228	YOR197W	0.785101
229	YDR083W	0.783151
230	YPL037C	0.781591
231	YKL116C	0.780811
232	YKR028W	0.780811
233	YJL168C	0.778861
234	YLR387C	0.778861
235	YBR218C	0.778861
236	YDR421W	0.776911
237	YBR125C	0.776131
238	YIL132C	0.774961
239	YHR015W	0.774961
240	YGL253W	0.774571
241	YLR342W	0.774181
242	YNL299W	0.773401
243	YDR440W	0.771841
244	YNL072W	0.770671
245	YGL029W	0.768721
246	YML057W	0.767551
247	YJL204C	0.767161
248	YOL104C	0.767161
249	YML113W	0.764041
250	YDR117C	0.761700
251	YGL222C	0.761310
252	YDR247W	0.761310
253	YJL176C	0.758970
254	YKL214C	0.758580
255	YJR094C	0.756630
256	YGR206W	0.755460
257	YJR135C	0.753510
258	YLR389C	0.752730
259	YMR014W	0.751560
260	YER143W	0.751560
261	YAR042W	0.750390
262	YKL212W	0.750390
263	YGL016W	0.749610
264	YGL166W	0.748830
265	YJR119C	0.748440
266	YML029W	0.747270
267	YDR255C	0.746100
268	YMR127C	0.745320
269	YDR075W	0.744540
270	YOL016C	0.744540
271	YDR260C	0.744150
272	YML058W-A	0.743370
273	YDR395W	0.742980
274	YIR025W	0.742980
275	YIR023W	0.742200
276	YBR010W	0.741420
277	YOR091W	0.741030
278	YLR265C	0.741030
279	YGR067C	0.740250
280	YJR096W	0.740250
281	YJL013C	0.738690
282	YDR295C	0.737129
283	YOR208W	0.736349
284	YDR096W	0.735569
285	YGR021W	0.735569
286	YKL009W	0.734789
287	YMR205C	0.733229
288	YDR066C	0.732839
289	YCL032W	0.732839
290	YFR001W	0.732059
291	YPR065W	0.730889
292	YER031C	0.730889
293	YER161C	0.729719
294	YDR457W	0.729329
295	YPL180W	0.726989
296	YDR151C	0.725819
297	YGR081C	0.725819
298	YBR276C	0.725429
299	YER044C-A	0.725429
300	YPR196W	0.723869
301	YOR344C	0.723479
302	YPR199C	0.723089
303	YLR150W	0.719969
304	YGL254W	0.719969
305	YNR074C	0.719969
306	YDR156W	0.719189
307	YKL109W	0.718799
308	YJL187C	0.718409
309	YKL029C	0.718019
310	YLR233C	0.717629
311	YLR425W	0.717629
312	YMR070W	0.716069
313	YLR231C	0.716069
314	YDR146C	0.715679
315	YLR018C	0.712168
316	YOL111C	0.711388
317	YGL216W	0.710998
318	YLR219W	0.709828
319	YOR229W	0.709048
320	YJR127C	0.709048
321	YGL208W	0.707878
322	YPL254W	0.705538
323	YNL199C	0.704758
324	YOR386W	0.704368
325	YOL006C	0.704368
326	YIL036W	0.703588
327	YML058W	0.703198
328	YDL077C	0.703198
329	YDR422C	0.703198
330	YLR094C	0.703198
331	YGR122W	0.702808
332	YPL176C	0.699298
333	YGR229C	0.699298
334	YDR277C	0.698518
335	YML036W	0.698128
336	YOR101W	0.697348
337	YBR034C	0.697348
338	YNL030W	0.696958
339	YAR003W	0.695008
340	YHR119W	0.694618
341	YKL206C	0.693838
342	YDR383C	0.693838
343	YOR025W	0.693448
344	YBR203W	0.692668
345	YPL031C	0.691888
346	YMR284W	0.691888
347	YNL119W	0.691108
348	YLR207W	0.689548
349	YDR253C	0.687988
350	YGL241W	0.687598
351	YEL009C	0.686427
352	YGR276C	0.685257
353	YPR070W	0.684867
354	YJL056C	0.683697
355	YNL323W	0.682527
356	YER169W	0.681747
357	YJL103C	0.680967
358	YLR021W	0.680967
359	YDR004W	0.680577
360	YGL151W	0.679797
361	YGR249W	0.679797
362	YML088W	0.679407
363	YOL113W	0.679407
364	YOL042W	0.679017
365	YAL056W	0.677067
366	YPL203W	0.677067
367	YMR037C	0.675897
368	YIR026C	0.674727
369	YFR040W	0.674337
370	YKL149C	0.673947
371	YHL024W	0.673557
372	YHL009C	0.672387
373	YKL027W	0.671997
374	YNL025C	0.669657
375	YKL043W	0.669657
376	YNL059C	0.668487
377	YML070W	0.668487
378	YNL286W	0.667317
379	YDR289C	0.665757
380	YDR495C	0.664197
381	YAL040C	0.663807
382	YDR320C	0.663417
383	YHR034C	0.662637
384	YDR285W	0.662246
385	YLR097C	0.662246
386	YOR153W	0.661466
387	YML121W	0.661076
388	YOR047C	0.661076
389	YGL100W	0.661076
390	YBR275C	0.661076
391	YOR144C	0.659126
392	YGL071W	0.658736
393	YFL052W	0.656396
394	YML124C	0.656006
395	YLR154C	0.656006
396	YLR384C	0.654056
397	YIL009C-A	0.653666
398	YJR073C	0.653276
399	YNR032C-A	0.652886
400	YBL008W	0.652496
401	YGR129W	0.651716
402	YML100W	0.650546
403	YHR031C	0.650156
404	YDL104C	0.649766
405	YBL056W	0.649376
406	YMR273C	0.648986
407	YIL030C	0.647816
408	YOL054W	0.646646
409	YIL056W	0.646256
410	YFR014C	0.645866
411	YJR052W	0.645086
412	YER110C	0.644696
413	YER123W	0.643916
414	YBR240C	0.642746
415	YPL001W	0.642356
416	YJR099W	0.641576
417	YML027W	0.641576
418	YDL214C	0.641186
419	YOR290C	0.640796
420	YOR140W	0.639626
421	YLR278C	0.639236
422	YOR173W	0.638456
423	YOR338W	0.638066
424	YOR107W	0.637285
425	YGL237C	0.635335
426	YOL090W	0.634945
