rank	yeast_gene	ensemble_score
1	YDR507C	0.610171846
2	YOR298C-A	0.575867571
3	YIL119C	0.520410412
4	YDR490C	0.515764788
5	YPL203W	0.482159686
6	YBL047C	0.475891268
7	YDR057W	0.475759348
8	YLR263W	0.407138594
9	YER173W	0.372068644
10	YDR217C	0.364529001
11	YNL307C	0.362688423
12	YGR225W	0.350947545
13	YOR360C	0.332131823
14	YBL088C	0.319086336
15	YMR055C	0.281221646
16	YGR070W	0.277903808
17	YML074C	0.262865352
18	YPL140C	0.261869562
19	YPL187W	0.256393305
20	YOR014W	0.247965731
21	YGL197W	0.243698521
22	YOR208W	0.239683978
23	YER075C	0.237507852
24	YLR113W	0.229884026
25	YGL086W	0.201866193
26	YOR171C	0.197953958
27	YBR140C	0.189618357
28	YPR054W	0.187985124
29	YKL190W	0.167070681
30	YNL098C	0.164549433
31	YJL187C	0.148485424
32	YGL058W	0.142213496
33	YNL201C	0.137927422
34	YDR006C	0.131634022
35	YJL128C	0.130641879
36	YIL033C	0.127695119
37	YOL013C	0.121113935
38	YIL072W	0.119426386
39	YPL180W	0.083926125
40	YKR039W	0.071597296
41	YFL044C	0.070364787
42	YDL188C	0.062992595
43	YNL053W	0.053147666
44	YDR466W	0.033829119
45	YML057W	0.030853003
46	YOR368W	0.027033908
47	YGR240C	0.025093252
48	YMR205C	0.022170358
49	YPL096C-A	0.020414195
50	YBR186W	0.013885449
51	YER177W	0.012902739
52	YIL113W	0.008097334
53	YOR144C	0.007317271
54	YDL074C	0.004415909
55	YGL089C	-0.004835017
56	YBR201W	-0.005389160
57	YAR035W	-0.006030345
58	YML123C	-0.013315419
59	YHL020C	-0.015638797
60	YPL018W	-0.016038207
61	YJL030W	-0.021058550
62	YPR125W	-0.023111454
63	YMR177W	-0.025591358
64	YOR351C	-0.039627744
65	YOR231W	-0.042704879
66	YAR018C	-0.043468122
67	YJR053W	-0.052883441
68	YLR260W	-0.058250659
69	YMR116C	-0.065706372
70	YJR066W	-0.069578089
71	YBR028C	-0.072731690
72	YDL138W	-0.074967093
73	YPR015C	-0.081189318
74	YKL166C	-0.095830590
75	YKL101W	-0.096754007
76	YGL248W	-0.100592600
77	YCL040W	-0.105393187
78	YDL194W	-0.106406017
79	YML062C	-0.107964757
80	YJL013C	-0.124267357
81	YLR136C	-0.125390444
82	YDR277C	-0.126763359
83	YBL009W	-0.131111777
84	YGR152C	-0.133075784
85	YJL164C	-0.134137864
86	YFL031W	-0.134500675
