rank	yeast_gene	ensemble_score
1	YNR032C-A	0.031937125
2	YKR059W	0.028723455
3	YPL086C	0.024689827
4	YOL104C	0.018147756
5	YEL013W	0.016468701
6	YAL027W	0.016083294
7	YER044C-A	0.015637789
8	YNL209W	0.015481552
9	YHR195W	0.014539882
10	YER177W	0.014505149
11	YLR438W	0.014126436
12	YBL006C	0.013910698
13	YPR052C	0.013756404
14	YPL192C	0.012910281
15	YBR089C-A	0.012793274
16	YOR153W	0.012740090
17	YKL130C	0.012640437
18	YKR039W	0.011855128
19	YER035W	0.010620759
20	YDR273W	0.010069793
21	YKL166C	0.009952838
22	YDR155C	0.009753100
23	YGR152C	0.009651497
24	YER106W	0.009469055
25	YGL168W	0.009311488
26	YMR246W	0.009265195
27	YLR102C	0.009256454
28	YOL081W	0.009169848
29	YDR252W	0.009148720
30	YGR275W	0.008955241
31	YBR140C	0.008502055
32	YER092W	0.008415931
33	YDL006W	0.008339080
34	YOR189W	0.008334189
35	YER179W	0.008328595
36	YOR179C	0.008093582
37	YFR053C	0.007914358
38	YNL241C	0.007583262
39	YBR285W	0.007547094
40	YLR385C	0.007481340
41	YGL253W	0.007455317
42	YER007C-A	0.007447476
43	YLR329W	0.007413388
44	YLR445W	0.007375683
45	YGL062W	0.007364061
46	YML058W-A	0.007205814
47	YML076C	0.007114037
48	YDR099W	0.007012578
49	YGR040W	0.006994053
50	YDR022C	0.006948350
51	YDL076C	0.006860452
52	YBR275C	0.006798870
53	YIR013C	0.006709911
54	YLR094C	0.006544403
55	YGR109C	0.006539113
56	YBR218C	0.006306437
57	YGR067C	0.006290546
58	YLR021W	0.006281897
59	YML036W	0.006263605
60	YDR181C	0.005949113
61	YMR105C	0.005881924
62	YDR158W	0.005641431
63	YGR134W	0.005590442
64	YLR304C	0.005534972
65	YKL067W	0.005391312
66	YDR223W	0.005341082
67	YMR100W	0.005195869
68	YJR096W	0.005187466
69	YGR180C	0.005057654
70	YIL010W	0.004945450
71	YAL055W	0.004661496
72	YOR047C	0.004578329
73	YPR054W	0.004561732
74	YMR219W	0.004473781
75	YLL039C	0.004392476
76	YGR206W	0.004357210
77	YMR116C	0.004327736
78	YNL210W	0.004287570
79	YCR053W	0.004272289
80	YDR079C-A	0.004187383
81	YGR208W	0.004007661
82	YPR040W	0.003967517
83	YKR054C	0.003963836
84	YOR027W	0.003855325
85	YKL091C	0.003853289
86	YDR457W	0.003847882
87	YNR004W	0.003790708
88	YAL009W	0.003765674
89	YDR001C	0.003751954
90	YMR315W	0.003751812
91	YDR035W	0.003749859
92	YOR298C-A	0.003749496
93	YEL066W	0.003745019
94	YKL127W	0.003742114
95	YBL088C	0.003525989
96	YDR059C	0.003413350
97	YPL037C	0.003412061
98	YKL161C	0.003380653
99	YJL115W	0.003278549
100	YDL079C	0.003244796
101	YGL175C	0.003169025
102	YLR453C	0.003115311
103	YLR263W	0.003094445
104	YGL237C	0.003045233
105	YLR013W	0.003025036
106	YPR093C	0.003024945
107	YBR114W	0.003012467
108	YGR019W	0.002984191
109	YLR180W	0.002968112
110	YGR108W	0.002802668
111	YAL059W	0.002794547
112	YMR133W	0.002760597
113	YKR057W	0.002725182
114	YHR157W	0.002722337
115	YJL164C	0.002697541
116	YDL236W	0.002681050
117	YER174C	0.002672154
118	YMR191W	0.002633662
119	YDR139C	0.002620719
120	YBL039C	0.002571232
121	YJL153C	0.002568213
122	YBR066C	0.002542856
123	YIL008W	0.002502503
124	YDL194W	0.002481459
125	YIR019C	0.002452528
126	YGL013C	0.002355770
127	YLR221C	0.002324875
128	YOR209C	0.002307834
129	YER116C	0.002233886
130	YPL212C	0.002226949
131	YNL142W	0.002208623
132	YFR030W	0.002205355
133	YLL002W	0.002205209
134	YOL082W	0.002100961
135	YBR001C	0.002099269
136	YPR119W	0.002080860
137	YOR039W	0.002069909
138	YBR107C	0.002003953
139	YJR021C	0.001978607
140	YBR188C	0.001977943
141	YHR167W	0.001963791
142	YLR074C	0.001943276
143	YGR229C	0.001935434
144	YDR098C	0.001934666
145	YMR186W	0.001865673
146	YHR033W	0.001864302
147	YGL220W	0.001862472
148	YLR210W	0.001855464
149	YFR046C	0.001843496
150	YGR173W	0.001764001
151	YPR155C	0.001759098
152	YML070W	0.001756555
153	YMR202W	0.001715929
154	YNR034W	0.001710904
155	YGL060W	0.001694471
156	YOR368W	0.001687447
157	YKL034W	0.001677303
158	YDR334W	0.001663019
159	YDL149W	0.001645336
160	YKR058W	0.001606635
161	YML075C	0.001568654
162	YDR260C	0.001559196
163	YMR302C	0.001558966
164	YMR167W	0.001548327
165	YNL138W	0.001539647
166	YPR160W	0.001524893
167	YLR174W	0.001515556
168	YPL176C	0.001510370
169	YDR110W	0.001505355
170	YIL133C	0.001503980
171	YLL040C	0.001500045
172	YFL007W	0.001496607
173	YKL213C	0.001488911
174	YLR135W	0.001464825
175	YIL030C	0.001462662
176	YDL135C	0.001422375
177	YHL027W	0.001410537
178	YKR010C	0.001403410
179	YJR066W	0.001383890
